                ****************************************
                                VPA-2BOX                
                BOOTSTRAP ESTIMATES OF BIAS AND VARIANCE
                ****************************************


BFT East 55-06 test                               
11:47, 16 September 2010


 *************************************************
 BIAS AND STANDARD ERROR ESTIMATES
 *************************************************


TABLE 1A. BIAS OF FISHING MORTALITY RATE FOR EAST OF 45                                        
  1958  0.227E-04  0.486E-04  0.104E-03  0.613E-04  0.111E-03  0.109E-03  0.950E-04  0.147E-03  0.125E-03  0.876E-04
  1959  0.960E-05  0.789E-04  0.133E-03  0.738E-04  0.477E-04  0.467E-04  0.440E-04  0.516E-04  0.148E-03  0.103E-03
  1960  0.669E-05  0.450E-04  0.779E-04  0.675E-04  0.138E-03  0.104E-03  0.609E-04  0.937E-04  0.137E-03  0.961E-04
  1961  0.980E-05  0.824E-04  0.140E-03  0.112E-03  0.188E-03  0.222E-03  0.712E-04  0.656E-04  0.167E-03  0.117E-03
  1962  0.739E-05  0.539E-04  0.128E-03  0.974E-04  0.149E-03  0.293E-03  0.148E-03  0.183E-03  0.189E-03  0.132E-03
  1963  0.621E-05  0.459E-04  0.101E-03  0.122E-03  0.147E-03  0.143E-03  0.192E-03  0.121E-03  0.102E-03  0.716E-04
  1964  0.129E-04  0.858E-04  0.145E-03  0.154E-03  0.224E-03  0.155E-03  0.160E-03  0.163E-03  0.115E-03  0.808E-04
  1965  0.939E-05  0.739E-04  0.118E-03  0.101E-03  0.103E-03  0.180E-03  0.195E-03  0.972E-04  0.138E-03  0.963E-04
  1966  0.435E-04  0.125E-03  0.321E-03  0.153E-03  0.912E-04  0.171E-03  0.157E-03  0.997E-04  0.820E-04  0.574E-04
  1967  0.975E-04  0.126E-03  0.180E-03  0.189E-03  0.864E-04  0.102E-03  0.261E-03  0.113E-03  0.157E-03  0.110E-03
  1968  0.387E-04  0.117E-03  0.145E-03  0.998E-04  0.113E-03  0.448E-04  0.101E-03  0.146E-03  0.951E-04  0.666E-04
  1969  0.874E-04  0.398E-03  0.314E-03  0.131E-03  0.515E-04  0.600E-04  0.364E-04  0.858E-04  0.136E-03  0.953E-04
  1970  0.611E-04  0.284E-03  0.227E-03  0.146E-03  0.572E-04  0.343E-04  0.652E-04  0.471E-04  0.888E-04  0.888E-04
  1971  0.425E-05  0.266E-03  0.340E-03  0.165E-03  0.135E-03  0.349E-04  0.296E-04  0.893E-04  0.728E-04  0.728E-04
  1972  0.976E-05  0.329E-03  0.533E-03  0.203E-03  0.159E-03  0.119E-03  0.460E-04  0.181E-04  0.536E-04  0.536E-04
  1973  0.108E-04  0.264E-03  0.301E-03  0.159E-03  0.770E-04  0.881E-04  0.139E-03  0.845E-04  0.571E-04  0.571E-04
  1974  0.276E-04  0.353E-03  0.389E-03  0.356E-03  0.256E-03  0.144E-03  0.102E-03  0.127E-03  0.117E-03  0.117E-03
  1975  0.109E-03  0.455E-03  0.353E-03  0.220E-03  0.117E-03  0.250E-03  0.139E-03  0.118E-03  0.152E-03  0.152E-03
  1976  0.177E-04  0.518E-03  0.896E-03  0.338E-03  0.256E-03  0.870E-04  0.176E-03  0.829E-04  0.128E-03  0.128E-03
  1977  0.790E-04  0.524E-03  0.424E-03  0.404E-03  0.700E-04  0.961E-04  0.743E-04  0.176E-03  0.132E-03  0.132E-03
  1978  0.209E-03  0.490E-03  0.486E-03  0.232E-03  0.120E-03  0.351E-04  0.706E-04  0.381E-04  0.108E-03  0.108E-03
  1979  0.256E-04  0.183E-03  0.537E-03  0.289E-03  0.111E-03  0.705E-04  0.528E-04  0.153E-03  0.101E-03  0.101E-03
  1980  0.117E-03  0.422E-03  0.923E-03  0.455E-03  0.102E-03  0.108E-03  0.934E-04  0.507E-04  0.111E-03  0.111E-03
  1981  0.109E-03  0.610E-03  0.780E-03  0.298E-03  0.245E-03  0.719E-04  0.988E-04  0.148E-03  0.862E-04  0.862E-04
  1982  0.576E-03  0.718E-03  0.106E-02  0.523E-03  0.215E-03  0.124E-03  0.773E-04  0.256E-03  0.185E-03  0.185E-03
  1983  0.325E-03  0.598E-03  0.850E-03  0.403E-03  0.276E-03  0.204E-03  0.382E-03  0.123E-03  0.204E-03  0.204E-03
  1984  0.215E-03  0.858E-03  0.432E-03  0.435E-03  0.449E-03  0.357E-03  0.315E-03  0.427E-03  0.240E-03  0.240E-03
  1985  0.172E-03  0.105E-02  0.117E-02  0.459E-03  0.261E-03  0.262E-03  0.149E-03  0.215E-03  0.304E-03  0.182E-03
  1986  0.403E-03  0.729E-03  0.874E-03  0.578E-03  0.137E-03  0.181E-03  0.169E-03  0.136E-03  0.303E-03  0.182E-03
  1987  0.435E-03  0.813E-03  0.914E-03  0.513E-03  0.201E-03  0.133E-03  0.350E-03  0.267E-03  0.289E-03  0.173E-03
  1988  0.866E-03  0.779E-03  0.118E-02  0.642E-03  0.273E-03  0.185E-03  0.229E-03  0.342E-03  0.461E-03  0.277E-03
  1989  0.104E-02  0.135E-02  0.755E-03  0.608E-03  0.644E-03  0.163E-03  0.247E-03  0.182E-03  0.383E-03  0.230E-03
  1990  0.746E-03  0.169E-02  0.164E-02  0.675E-03  0.772E-03  0.280E-03  0.279E-03  0.375E-03  0.481E-03  0.289E-03
  1991  0.614E-03  0.160E-02  0.194E-02  0.889E-03  0.820E-03  0.242E-03  0.259E-03  0.327E-03  0.757E-03  0.454E-03
  1992  0.648E-03  0.277E-02  0.271E-02  0.923E-03  0.510E-03  0.405E-03  0.589E-03  0.757E-03  0.969E-03  0.581E-03
  1993  0.677E-03  0.534E-02  0.456E-02  0.131E-02  0.678E-03  0.513E-03  0.514E-03  0.604E-03  0.101E-02  0.606E-03
  1994  0.140E-02  0.254E-02  0.316E-02  0.141E-02  0.135E-02  0.112E-02  0.164E-02  0.168E-02  0.275E-02  0.165E-02
  1995  0.141E-02  0.303E-02  0.332E-02  0.212E-02  0.208E-02  0.223E-02  0.128E-02  0.177E-02  0.199E-02  0.239E-02
  1996  0.211E-02  0.566E-02  0.660E-02  0.417E-02  0.267E-02  0.130E-02  0.165E-02  0.126E-02  0.299E-02  0.359E-02
  1997  0.238E-02  0.557E-02  0.409E-02  0.512E-02  0.319E-02  0.371E-02  0.210E-02  0.411E-02  0.407E-02  0.489E-02
  1998  0.615E-02  0.109E-01  0.904E-02  0.638E-02  0.388E-02  0.726E-02  0.124E-02  0.122E-02  0.339E-02  0.407E-02
  1999  0.628E-02  0.944E-02  0.959E-02  0.694E-02  0.328E-02  0.176E-02  0.169E-02  0.208E-02  0.449E-02  0.539E-02
  2000  0.189E-01  0.190E-01  0.121E-01  0.766E-02  0.837E-02  0.510E-02  0.216E-02  0.317E-02  0.355E-02  0.425E-02
  2001  0.614E-03  0.303E-01  0.137E-01  0.966E-02  0.664E-02  0.550E-02  0.788E-02  0.537E-02  0.599E-02  0.719E-02
  2002  0.336E-02  0.421E-01  0.338E-01  0.116E-01  0.518E-02  0.705E-02  0.425E-02  0.631E-02  0.671E-02  0.805E-02
  2003  0.212E-02  0.202E-01  0.135E-01  0.106E-01  0.124E-01  0.542E-02  0.128E-01  0.852E-02  0.105E-01  0.126E-01
  2004  0.692E-02  0.287E-01  0.303E-01  0.964E-02  0.574E-02  0.992E-02  0.898E-02  0.944E-02  0.143E-01  0.172E-01
  2005  0.401E-01  0.376E-01  0.284E-01  0.220E-01  0.106E-01  0.116E-01  0.112E-01  0.627E-02  0.260E-01  0.312E-01
  2006  0.515E-01  0.567E-01  0.533E-01  0.168E-01  0.681E-02  0.173E-01  0.904E-02  0.100E-01  0.253E-01  0.303E-01
  2007  0.993E-03  0.586E-01  0.300E-01  0.694E-01  0.390E-01  0.210E-01  0.196E-01  0.159E-01  0.376E-01  0.451E-01
  2008  0.176E-02  0.905E-01  0.526E-01  0.102E+00  0.556E-01  0.287E-01  0.248E-01  0.246E-01  0.282E-01  0.338E-01
  2009  0.290E-02  0.131E+00  0.772E-01  0.178E+00  0.985E-01  0.634E-01  0.594E-01  0.390E-01  0.219E-01  0.263E-01
====================================================================================================================     


TABLE 1C. BIAS OF ABUNDANCE (BY AREA) OF EAST OF 45                                        
====================================================================================================================     
            1          2          3          4          5          6          7          8          9         10
--------------------------------------------------------------------------------------------------------------------     
  1950 -0.426E+03 -0.147E+03 -0.219E+03 -0.106E+03 -0.673E+02 -0.839E+02 -0.536E+02 -0.234E+02 -0.162E+02 -0.187E+02
  1951 -0.364E+03 -0.258E+03 -0.118E+03 -0.172E+03 -0.835E+02 -0.530E+02 -0.686E+02 -0.452E+02 -0.194E+02 -0.271E+02
  1952 -0.642E+03 -0.223E+03 -0.203E+03 -0.926E+02 -0.136E+03 -0.661E+02 -0.415E+02 -0.585E+02 -0.393E+02 -0.383E+02
  1953 -0.577E+03 -0.393E+03 -0.175E+03 -0.160E+03 -0.728E+02 -0.107E+03 -0.548E+02 -0.355E+02 -0.513E+02 -0.626E+02
  1954 -0.668E+03 -0.354E+03 -0.309E+03 -0.138E+03 -0.126E+03 -0.562E+02 -0.885E+02 -0.459E+02 -0.309E+02 -0.927E+02
  1955 -0.454E+03 -0.416E+03 -0.278E+03 -0.243E+03 -0.108E+03 -0.994E+02 -0.470E+02 -0.741E+02 -0.398E+02 -0.114E+03
  1956 -0.242E+03 -0.281E+03 -0.323E+03 -0.218E+03 -0.192E+03 -0.854E+02 -0.804E+02 -0.400E+02 -0.640E+02 -0.146E+03
  1957 -0.132E+03 -0.148E+03 -0.221E+03 -0.255E+03 -0.171E+03 -0.151E+03 -0.683E+02 -0.676E+02 -0.341E+02 -0.186E+03
  1958 -0.260E+03 -0.809E+02 -0.117E+03 -0.172E+03 -0.201E+03 -0.136E+03 -0.124E+03 -0.582E+02 -0.580E+02 -0.195E+03
  1959 -0.240E+03 -0.159E+03 -0.642E+02 -0.920E+02 -0.135E+03 -0.159E+03 -0.112E+03 -0.104E+03 -0.505E+02 -0.227E+03
  1960 -0.209E+03 -0.147E+03 -0.126E+03 -0.501E+02 -0.726E+02 -0.106E+03 -0.130E+03 -0.939E+02 -0.896E+02 -0.265E+03
  1961 -0.299E+03 -0.128E+03 -0.116E+03 -0.989E+02 -0.395E+02 -0.574E+02 -0.869E+02 -0.108E+03 -0.812E+02 -0.308E+03
  1962 -0.770E+03 -0.183E+03 -0.100E+03 -0.917E+02 -0.770E+02 -0.312E+02 -0.473E+02 -0.730E+02 -0.934E+02 -0.352E+03
  1963 -0.110E+04 -0.471E+03 -0.145E+03 -0.796E+02 -0.718E+02 -0.601E+02 -0.252E+02 -0.397E+02 -0.631E+02 -0.424E+03
  1964 -0.945E+03 -0.675E+03 -0.367E+03 -0.114E+03 -0.621E+02 -0.565E+02 -0.493E+02 -0.213E+02 -0.342E+02 -0.466E+03
  1965 -0.221E+04 -0.579E+03 -0.528E+03 -0.287E+03 -0.901E+02 -0.487E+02 -0.464E+02 -0.415E+02 -0.183E+02 -0.398E+03
  1966 -0.103E+04 -0.135E+04 -0.455E+03 -0.417E+03 -0.226E+03 -0.699E+02 -0.399E+02 -0.392E+02 -0.359E+02 -0.375E+03
  1967 -0.420E+03 -0.629E+03 -0.107E+04 -0.360E+03 -0.329E+03 -0.178E+03 -0.573E+02 -0.334E+02 -0.339E+02 -0.409E+03
  1968 -0.393E+03 -0.260E+03 -0.492E+03 -0.837E+03 -0.281E+03 -0.259E+03 -0.145E+03 -0.479E+02 -0.289E+02 -0.395E+03
  1969 -0.415E+03 -0.241E+03 -0.204E+03 -0.387E+03 -0.657E+03 -0.220E+03 -0.212E+03 -0.123E+03 -0.409E+02 -0.381E+03
  1970 -0.289E+03 -0.255E+03 -0.189E+03 -0.161E+03 -0.305E+03 -0.517E+03 -0.181E+03 -0.178E+03 -0.105E+03 -0.428E+03
  1971 -0.969E+03 -0.178E+03 -0.201E+03 -0.148E+03 -0.128E+03 -0.240E+03 -0.423E+03 -0.152E+03 -0.153E+03 -0.515E+03
  1972 -0.655E+03 -0.594E+03 -0.141E+03 -0.159E+03 -0.117E+03 -0.100E+03 -0.196E+03 -0.355E+03 -0.131E+03 -0.691E+03
  1973 -0.123E+04 -0.401E+03 -0.469E+03 -0.111E+03 -0.125E+03 -0.919E+02 -0.818E+02 -0.166E+03 -0.306E+03 -0.726E+03
  1974 -0.763E+03 -0.753E+03 -0.317E+03 -0.367E+03 -0.873E+02 -0.985E+02 -0.754E+02 -0.690E+02 -0.143E+03 -0.715E+03
  1975 -0.919E+03 -0.467E+03 -0.594E+03 -0.249E+03 -0.287E+03 -0.683E+02 -0.808E+02 -0.634E+02 -0.596E+02 -0.722E+03
  1976 -0.159E+04 -0.566E+03 -0.370E+03 -0.469E+03 -0.196E+03 -0.226E+03 -0.560E+02 -0.681E+02 -0.548E+02 -0.741E+03
  1977 -0.460E+03 -0.977E+03 -0.442E+03 -0.290E+03 -0.370E+03 -0.155E+03 -0.185E+03 -0.471E+02 -0.586E+02 -0.763E+03
  1978 -0.468E+03 -0.279E+03 -0.770E+03 -0.346E+03 -0.228E+03 -0.291E+03 -0.127E+03 -0.156E+03 -0.405E+02 -0.765E+03
  1979 -0.600E+03 -0.285E+03 -0.217E+03 -0.607E+03 -0.272E+03 -0.180E+03 -0.238E+03 -0.106E+03 -0.134E+03 -0.731E+03
  1980 -0.605E+03 -0.368E+03 -0.225E+03 -0.172E+03 -0.477E+03 -0.214E+03 -0.147E+03 -0.200E+03 -0.913E+02 -0.818E+03
  1981 -0.758E+03 -0.373E+03 -0.290E+03 -0.176E+03 -0.135E+03 -0.375E+03 -0.175E+03 -0.123E+03 -0.172E+03 -0.875E+03
  1982 -0.178E+04 -0.466E+03 -0.295E+03 -0.227E+03 -0.138E+03 -0.106E+03 -0.307E+03 -0.147E+03 -0.107E+03 -0.837E+03
  1983 -0.152E+04 -0.108E+04 -0.366E+03 -0.230E+03 -0.178E+03 -0.109E+03 -0.871E+02 -0.258E+03 -0.126E+03 -0.879E+03
  1984 -0.122E+04 -0.919E+03 -0.849E+03 -0.286E+03 -0.182E+03 -0.141E+03 -0.891E+02 -0.729E+02 -0.222E+03 -0.872E+03
  1985 -0.106E+04 -0.750E+03 -0.720E+03 -0.669E+03 -0.225E+03 -0.143E+03 -0.115E+03 -0.747E+02 -0.628E+02 -0.989E+03
  1986 -0.135E+04 -0.650E+03 -0.591E+03 -0.566E+03 -0.526E+03 -0.176E+03 -0.117E+03 -0.967E+02 -0.644E+02 -0.922E+03
  1987 -0.209E+04 -0.825E+03 -0.510E+03 -0.465E+03 -0.444E+03 -0.415E+03 -0.145E+03 -0.986E+02 -0.832E+02 -0.880E+03
  1988 -0.246E+04 -0.128E+04 -0.643E+03 -0.400E+03 -0.366E+03 -0.349E+03 -0.340E+03 -0.122E+03 -0.851E+02 -0.904E+03
  1989 -0.564E+04 -0.149E+04 -0.101E+04 -0.506E+03 -0.315E+03 -0.287E+03 -0.285E+03 -0.285E+03 -0.105E+03 -0.908E+03
  1990 -0.455E+04 -0.345E+04 -0.117E+04 -0.793E+03 -0.397E+03 -0.248E+03 -0.235E+03 -0.239E+03 -0.246E+03 -0.882E+03
  1991 -0.107E+05 -0.278E+04 -0.271E+04 -0.920E+03 -0.622E+03 -0.312E+03 -0.203E+03 -0.197E+03 -0.206E+03 -0.100E+04
  1992 -0.101E+05 -0.655E+04 -0.218E+04 -0.213E+04 -0.724E+03 -0.488E+03 -0.255E+03 -0.170E+03 -0.170E+03 -0.110E+04
  1993 -0.101E+05 -0.621E+04 -0.515E+04 -0.171E+04 -0.167E+04 -0.568E+03 -0.400E+03 -0.214E+03 -0.146E+03 -0.115E+04
  1994 -0.126E+05 -0.617E+04 -0.486E+04 -0.404E+04 -0.135E+04 -0.131E+04 -0.465E+03 -0.336E+03 -0.184E+03 -0.118E+04
  1995 -0.111E+05 -0.774E+04 -0.485E+04 -0.381E+04 -0.318E+04 -0.106E+04 -0.108E+04 -0.389E+03 -0.289E+03 -0.122E+04
  1996 -0.128E+05 -0.680E+04 -0.608E+04 -0.381E+04 -0.300E+04 -0.250E+04 -0.868E+03 -0.904E+03 -0.335E+03 -0.136E+04
  1997 -0.104E+05 -0.783E+04 -0.533E+04 -0.477E+04 -0.299E+04 -0.236E+04 -0.205E+04 -0.728E+03 -0.778E+03 -0.153E+04
  1998 -0.590E+05 -0.639E+04 -0.614E+04 -0.419E+04 -0.375E+04 -0.235E+04 -0.193E+04 -0.172E+04 -0.626E+03 -0.207E+04
  1999 -0.471E+05 -0.361E+05 -0.499E+04 -0.481E+04 -0.329E+04 -0.295E+04 -0.192E+04 -0.162E+04 -0.148E+04 -0.242E+04
  2000 -0.618E+05 -0.288E+05 -0.284E+05 -0.392E+04 -0.378E+04 -0.259E+04 -0.241E+04 -0.161E+04 -0.139E+04 -0.350E+04
  2001 -0.682E+05 -0.376E+05 -0.226E+05 -0.223E+05 -0.308E+04 -0.297E+04 -0.212E+04 -0.202E+04 -0.139E+04 -0.440E+04
  2002  0.573E+05 -0.418E+05 -0.295E+05 -0.178E+05 -0.176E+05 -0.242E+04 -0.243E+04 -0.178E+04 -0.174E+04 -0.522E+04
  2003  0.164E+06  0.351E+05 -0.327E+05 -0.232E+05 -0.140E+05 -0.138E+05 -0.198E+04 -0.204E+04 -0.153E+04 -0.626E+04
  2004  0.248E+06  0.100E+06  0.276E+05 -0.257E+05 -0.182E+05 -0.110E+05 -0.113E+05 -0.166E+04 -0.176E+04 -0.700E+04
  2005  0.600E+05  0.152E+06  0.789E+05  0.217E+05 -0.202E+05 -0.143E+05 -0.900E+04 -0.949E+04 -0.143E+04 -0.789E+04
  2006  0.611E+05  0.367E+05  0.119E+06  0.620E+05  0.171E+05 -0.159E+05 -0.117E+05 -0.755E+04 -0.817E+04 -0.839E+04
  2007  0.406E+05  0.374E+05  0.288E+05  0.938E+05  0.488E+05  0.134E+05 -0.130E+05 -0.984E+04 -0.650E+04 -0.148E+05
  2008  0.204E+05  0.249E+05  0.294E+05  0.227E+05  0.737E+05  0.384E+05  0.110E+05 -0.109E+05 -0.847E+04 -0.191E+05
  2009  0.130E+05  0.125E+05  0.196E+05  0.231E+05  0.178E+05  0.579E+05  0.314E+05  0.922E+04 -0.941E+04 -0.248E+05
  2010             0.799E+04  0.982E+04  0.154E+05  0.182E+05  0.140E+05  0.474E+05  0.264E+05  0.794E+04 -0.307E+05
====================================================================================================================     


TABLE 1D. STANDARD ERROR OF ABUNDANCE (BY AREA) OF EAST OF 45                                        
====================================================================================================================     
            1          2          3          4          5          6          7          8          9         10
--------------------------------------------------------------------------------------------------------------------     
  1950  0.150E+04  0.533E+03  0.768E+03  0.398E+03  0.251E+03  0.300E+03  0.169E+03  0.640E+02  0.400E+02  0.461E+02
  1951  0.132E+04  0.920E+03  0.418E+03  0.604E+03  0.313E+03  0.198E+03  0.246E+03  0.142E+03  0.549E+02  0.765E+02
  1952  0.220E+04  0.807E+03  0.723E+03  0.329E+03  0.475E+03  0.246E+03  0.161E+03  0.206E+03  0.122E+03  0.119E+03
  1953  0.206E+04  0.135E+04  0.635E+03  0.569E+03  0.259E+03  0.374E+03  0.202E+03  0.135E+03  0.178E+03  0.217E+03
  1954  0.235E+04  0.126E+04  0.106E+04  0.500E+03  0.448E+03  0.203E+03  0.306E+03  0.169E+03  0.116E+03  0.349E+03
  1955  0.151E+04  0.144E+04  0.995E+03  0.834E+03  0.393E+03  0.352E+03  0.167E+03  0.257E+03  0.146E+03  0.418E+03
  1956  0.768E+03  0.927E+03  0.113E+04  0.782E+03  0.657E+03  0.310E+03  0.288E+03  0.140E+03  0.221E+03  0.506E+03
  1957  0.468E+03  0.470E+03  0.730E+03  0.892E+03  0.615E+03  0.517E+03  0.253E+03  0.242E+03  0.120E+03  0.656E+03
  1958  0.919E+03  0.287E+03  0.370E+03  0.574E+03  0.702E+03  0.483E+03  0.423E+03  0.212E+03  0.209E+03  0.702E+03
  1959  0.787E+03  0.563E+03  0.226E+03  0.291E+03  0.451E+03  0.552E+03  0.395E+03  0.355E+03  0.183E+03  0.821E+03
  1960  0.682E+03  0.482E+03  0.443E+03  0.177E+03  0.229E+03  0.355E+03  0.452E+03  0.332E+03  0.306E+03  0.904E+03
  1961  0.964E+03  0.418E+03  0.380E+03  0.348E+03  0.140E+03  0.180E+03  0.290E+03  0.379E+03  0.285E+03  0.108E+04
  1962  0.221E+04  0.591E+03  0.329E+03  0.299E+03  0.274E+03  0.110E+03  0.147E+03  0.244E+03  0.327E+03  0.123E+04
  1963  0.300E+04  0.135E+04  0.465E+03  0.258E+03  0.235E+03  0.215E+03  0.896E+02  0.124E+03  0.210E+03  0.141E+04
  1964  0.224E+04  0.184E+04  0.106E+04  0.366E+03  0.203E+03  0.185E+03  0.176E+03  0.752E+02  0.106E+03  0.145E+04
