                ****************************************
                                VPA-2BOX                
                BOOTSTRAP ESTIMATES OF BIAS AND VARIANCE
                ****************************************


BFT East 55-06 test                               
12:14, 16 September 2010


 *************************************************
 BIAS AND STANDARD ERROR ESTIMATES
 *************************************************


TABLE 1A. BIAS OF FISHING MORTALITY RATE FOR EAST OF 45                                        
  1958  0.189E-04  0.395E-04  0.852E-04  0.510E-04  0.900E-04  0.891E-04  0.761E-04  0.119E-03  0.101E-03  0.709E-04
  1959  0.796E-05  0.655E-04  0.110E-03  0.607E-04  0.393E-04  0.378E-04  0.356E-04  0.414E-04  0.119E-03  0.835E-04
  1960  0.557E-05  0.372E-04  0.652E-04  0.561E-04  0.113E-03  0.848E-04  0.504E-04  0.762E-04  0.110E-03  0.768E-04
  1961  0.743E-05  0.684E-04  0.115E-03  0.922E-04  0.156E-03  0.180E-03  0.558E-04  0.514E-04  0.135E-03  0.943E-04
  1962  0.606E-05  0.457E-04  0.107E-03  0.795E-04  0.123E-03  0.239E-03  0.122E-03  0.148E-03  0.152E-03  0.106E-03
  1963  0.507E-05  0.405E-04  0.840E-04  0.101E-03  0.121E-03  0.116E-03  0.155E-03  0.975E-04  0.820E-04  0.574E-04
  1964  0.106E-04  0.700E-04  0.118E-03  0.128E-03  0.184E-03  0.126E-03  0.130E-03  0.131E-03  0.926E-04  0.648E-04
  1965  0.767E-05  0.610E-04  0.967E-04  0.834E-04  0.844E-04  0.146E-03  0.158E-03  0.781E-04  0.110E-03  0.772E-04
  1966  0.358E-04  0.102E-03  0.261E-03  0.125E-03  0.744E-04  0.140E-03  0.127E-03  0.812E-04  0.662E-04  0.464E-04
  1967  0.809E-04  0.104E-03  0.146E-03  0.152E-03  0.670E-04  0.824E-04  0.212E-03  0.910E-04  0.127E-03  0.886E-04
  1968  0.294E-04  0.963E-04  0.118E-03  0.803E-04  0.912E-04  0.360E-04  0.829E-04  0.118E-03  0.766E-04  0.536E-04
  1969  0.710E-04  0.324E-03  0.256E-03  0.106E-03  0.415E-04  0.486E-04  0.293E-04  0.704E-04  0.110E-03  0.768E-04
  1970  0.489E-04  0.229E-03  0.183E-03  0.118E-03  0.463E-04  0.276E-04  0.520E-04  0.414E-04  0.714E-04  0.714E-04
  1971  0.342E-05  0.218E-03  0.272E-03  0.133E-03  0.109E-03  0.271E-04  0.234E-04  0.737E-04  0.584E-04  0.584E-04
  1972  0.113E-04  0.263E-03  0.432E-03  0.160E-03  0.128E-03  0.949E-04  0.341E-04  0.145E-04  0.427E-04  0.427E-04
  1973  0.875E-05  0.213E-03  0.239E-03  0.127E-03  0.612E-04  0.713E-04  0.111E-03  0.643E-04  0.458E-04  0.458E-04
  1974  0.228E-04  0.285E-03  0.311E-03  0.280E-03  0.204E-03  0.113E-03  0.802E-04  0.101E-03  0.940E-04  0.940E-04
  1975  0.889E-04  0.374E-03  0.281E-03  0.174E-03  0.935E-04  0.197E-03  0.109E-03  0.921E-04  0.121E-03  0.121E-03
  1976  0.142E-04  0.415E-03  0.721E-03  0.266E-03  0.201E-03  0.670E-04  0.138E-03  0.655E-04  0.101E-03  0.101E-03
  1977  0.658E-04  0.417E-03  0.335E-03  0.319E-03  0.547E-04  0.744E-04  0.576E-04  0.137E-03  0.102E-03  0.102E-03
  1978  0.170E-03  0.401E-03  0.380E-03  0.181E-03  0.938E-04  0.275E-04  0.550E-04  0.317E-04  0.835E-04  0.835E-04
  1979  0.209E-04  0.147E-03  0.432E-03  0.224E-03  0.865E-04  0.549E-04  0.411E-04  0.119E-03  0.785E-04  0.785E-04
  1980  0.966E-04  0.342E-03  0.733E-03  0.361E-03  0.780E-04  0.830E-04  0.723E-04  0.394E-04  0.859E-04  0.859E-04
  1981  0.890E-04  0.499E-03  0.620E-03  0.232E-03  0.193E-03  0.550E-04  0.762E-04  0.114E-03  0.669E-04  0.669E-04
  1982  0.459E-03  0.580E-03  0.849E-03  0.407E-03  0.167E-03  0.937E-04  0.629E-04  0.197E-03  0.142E-03  0.142E-03
  1983  0.267E-03  0.467E-03  0.671E-03  0.315E-03  0.213E-03  0.157E-03  0.295E-03  0.928E-04  0.156E-03  0.156E-03
  1984  0.173E-03  0.692E-03  0.332E-03  0.336E-03  0.346E-03  0.272E-03  0.240E-03  0.326E-03  0.182E-03  0.182E-03
  1985  0.139E-03  0.828E-03  0.912E-03  0.348E-03  0.199E-03  0.199E-03  0.113E-03  0.162E-03  0.229E-03  0.138E-03
  1986  0.331E-03  0.581E-03  0.670E-03  0.439E-03  0.105E-03  0.136E-03  0.127E-03  0.988E-04  0.227E-03  0.136E-03
  1987  0.339E-03  0.653E-03  0.711E-03  0.385E-03  0.152E-03  0.996E-04  0.263E-03  0.201E-03  0.215E-03  0.129E-03
  1988  0.684E-03  0.596E-03  0.924E-03  0.487E-03  0.202E-03  0.137E-03  0.170E-03  0.255E-03  0.343E-03  0.206E-03
  1989  0.751E-03  0.103E-02  0.564E-03  0.461E-03  0.479E-03  0.120E-03  0.184E-03  0.132E-03  0.282E-03  0.169E-03
  1990  0.553E-03  0.117E-02  0.120E-02  0.493E-03  0.574E-03  0.205E-03  0.204E-03  0.275E-03  0.352E-03  0.211E-03
  1991  0.427E-03  0.115E-02  0.128E-02  0.625E-03  0.587E-03  0.177E-03  0.189E-03  0.237E-03  0.547E-03  0.328E-03
  1992  0.449E-03  0.179E-02  0.184E-02  0.583E-03  0.351E-03  0.284E-03  0.425E-03  0.543E-03  0.689E-03  0.413E-03
  1993  0.412E-03  0.343E-02  0.251E-02  0.843E-03  0.419E-03  0.348E-03  0.356E-03  0.428E-03  0.706E-03  0.423E-03
  1994  0.822E-03  0.149E-02  0.181E-02  0.685E-03  0.842E-03  0.674E-03  0.108E-02  0.113E-02  0.186E-02  0.112E-02
  1995  0.720E-03  0.171E-02  0.182E-02  0.114E-02  0.942E-03  0.133E-02  0.747E-03  0.111E-02  0.127E-02  0.152E-02
  1996  0.103E-02  0.266E-02  0.342E-02  0.212E-02  0.135E-02  0.552E-03  0.937E-03  0.710E-03  0.176E-02  0.211E-02
  1997  0.867E-03  0.238E-02  0.172E-02  0.241E-02  0.150E-02  0.173E-02  0.838E-03  0.218E-02  0.215E-02  0.258E-02
  1998  0.299E-02  0.488E-02  0.471E-02  0.357E-02  0.255E-02  0.480E-02  0.634E-03  0.506E-03  0.170E-02  0.204E-02
  1999  0.477E-02  0.671E-02  0.651E-02  0.494E-02  0.197E-02  0.110E-02  0.107E-02  0.106E-02  0.262E-02  0.315E-02
  2000  0.145E-01  0.149E-01  0.893E-02  0.494E-02  0.556E-02  0.346E-02  0.133E-02  0.182E-02  0.161E-02  0.194E-02
  2001  0.440E-03  0.220E-01  0.922E-02  0.702E-02  0.440E-02  0.324E-02  0.558E-02  0.312E-02  0.324E-02  0.389E-02
  2002  0.180E-02  0.327E-01  0.264E-01  0.871E-02  0.381E-02  0.496E-02  0.235E-02  0.385E-02  0.376E-02  0.451E-02
  2003  0.157E-02  0.140E-01  0.105E-01  0.978E-02  0.101E-01  0.413E-02  0.101E-01  0.571E-02  0.693E-02  0.832E-02
  2004  0.463E-02  0.227E-01  0.270E-01  0.798E-02  0.490E-02  0.786E-02  0.694E-02  0.648E-02  0.104E-01  0.125E-01
  2005  0.254E-01  0.250E-01  0.197E-01  0.184E-01  0.822E-02  0.954E-02  0.760E-02  0.406E-02  0.186E-01  0.224E-01
  2006  0.364E-01  0.366E-01  0.387E-01  0.146E-01  0.608E-02  0.166E-01  0.694E-02  0.657E-02  0.236E-01  0.283E-01
  2007  0.859E-03  0.536E-01  0.320E-01  0.456E-01  0.187E-01  0.167E-01  0.239E-01  0.234E-01  0.406E-01  0.487E-01
  2008  0.555E-03  0.280E-01  0.211E-01  0.348E-01  0.172E-01  0.120E-01  0.136E-01  0.154E-01  0.179E-01  0.215E-01
  2009  0.224E-05  0.309E-01  0.160E-01  0.460E-01  0.210E-01  0.149E-01  0.212E-01  0.197E-01  0.131E-01  0.157E-01
====================================================================================================================     


TABLE 1C. BIAS OF ABUNDANCE (BY AREA) OF EAST OF 45                                        
====================================================================================================================     
            1          2          3          4          5          6          7          8          9         10
--------------------------------------------------------------------------------------------------------------------     
  1950 -0.678E+03 -0.245E+03 -0.380E+03 -0.203E+03 -0.130E+03 -0.168E+03 -0.979E+02 -0.369E+02 -0.255E+02 -0.295E+02
  1951 -0.573E+03 -0.420E+03 -0.194E+03 -0.299E+03 -0.159E+03 -0.102E+03 -0.138E+03 -0.825E+02 -0.320E+02 -0.446E+02
  1952 -0.918E+03 -0.351E+03 -0.330E+03 -0.153E+03 -0.235E+03 -0.126E+03 -0.816E+02 -0.115E+03 -0.706E+02 -0.686E+02
  1953 -0.859E+03 -0.562E+03 -0.276E+03 -0.260E+03 -0.120E+03 -0.185E+03 -0.102E+03 -0.692E+02 -0.980E+02 -0.119E+03
  1954 -0.103E+04 -0.526E+03 -0.442E+03 -0.217E+03 -0.204E+03 -0.955E+02 -0.152E+03 -0.854E+02 -0.590E+02 -0.177E+03
  1955 -0.651E+03 -0.629E+03 -0.414E+03 -0.348E+03 -0.171E+03 -0.162E+03 -0.782E+02 -0.126E+03 -0.727E+02 -0.209E+03
  1956 -0.308E+03 -0.399E+03 -0.495E+03 -0.323E+03 -0.274E+03 -0.135E+03 -0.131E+03 -0.647E+02 -0.108E+03 -0.247E+03
  1957 -0.201E+03 -0.189E+03 -0.314E+03 -0.388E+03 -0.254E+03 -0.215E+03 -0.111E+03 -0.110E+03 -0.554E+02 -0.302E+03
  1958 -0.424E+03 -0.123E+03 -0.148E+03 -0.247E+03 -0.307E+03 -0.200E+03 -0.178E+03 -0.932E+02 -0.939E+02 -0.316E+03
  1959 -0.321E+03 -0.260E+03 -0.967E+02 -0.117E+03 -0.195E+03 -0.240E+03 -0.164E+03 -0.149E+03 -0.805E+02 -0.362E+03
  1960 -0.275E+03 -0.197E+03 -0.205E+03 -0.764E+02 -0.926E+02 -0.153E+03 -0.197E+03 -0.138E+03 -0.128E+03 -0.379E+03
  1961 -0.341E+03 -0.168E+03 -0.155E+03 -0.162E+03 -0.606E+02 -0.723E+02 -0.126E+03 -0.165E+03 -0.118E+03 -0.449E+03
  1962 -0.700E+03 -0.209E+03 -0.133E+03 -0.122E+03 -0.127E+03 -0.474E+02 -0.596E+02 -0.105E+03 -0.143E+03 -0.538E+03
  1963 -0.993E+03 -0.429E+03 -0.165E+03 -0.104E+03 -0.960E+02 -0.100E+03 -0.387E+02 -0.500E+02 -0.902E+02 -0.606E+03
  1964 -0.689E+03 -0.608E+03 -0.337E+03 -0.130E+03 -0.821E+02 -0.753E+02 -0.816E+02 -0.325E+02 -0.431E+02 -0.588E+03
  1965 -0.163E+04 -0.422E+03 -0.481E+03 -0.266E+03 -0.102E+03 -0.643E+02 -0.616E+02 -0.683E+02 -0.279E+02 -0.606E+03
  1966 -0.115E+04 -0.996E+03 -0.332E+03 -0.380E+03 -0.210E+03 -0.792E+02 -0.528E+02 -0.519E+02 -0.587E+02 -0.614E+03
  1967 -0.563E+03 -0.707E+03 -0.779E+03 -0.260E+03 -0.300E+03 -0.166E+03 -0.649E+02 -0.441E+02 -0.447E+02 -0.540E+03
  1968 -0.526E+03 -0.347E+03 -0.559E+03 -0.611E+03 -0.204E+03 -0.237E+03 -0.135E+03 -0.544E+02 -0.379E+02 -0.518E+03
  1969 -0.549E+03 -0.321E+03 -0.273E+03 -0.439E+03 -0.480E+03 -0.161E+03 -0.194E+03 -0.114E+03 -0.471E+02 -0.438E+03
  1970 -0.348E+03 -0.337E+03 -0.253E+03 -0.215E+03 -0.346E+03 -0.377E+03 -0.132E+03 -0.163E+03 -0.982E+02 -0.400E+03
  1971 -0.130E+04 -0.211E+03 -0.265E+03 -0.199E+03 -0.170E+03 -0.272E+03 -0.309E+03 -0.110E+03 -0.141E+03 -0.474E+03
  1972 -0.769E+03 -0.797E+03 -0.166E+03 -0.209E+03 -0.156E+03 -0.134E+03 -0.223E+03 -0.259E+03 -0.951E+02 -0.502E+03
  1973 -0.123E+04 -0.470E+03 -0.628E+03 -0.131E+03 -0.164E+03 -0.122E+03 -0.109E+03 -0.187E+03 -0.223E+03 -0.530E+03
  1974 -0.770E+03 -0.754E+03 -0.371E+03 -0.495E+03 -0.103E+03 -0.129E+03 -0.100E+03 -0.917E+02 -0.160E+03 -0.801E+03
  1975 -0.863E+03 -0.472E+03 -0.594E+03 -0.292E+03 -0.390E+03 -0.811E+02 -0.106E+03 -0.841E+02 -0.788E+02 -0.955E+03
  1976 -0.155E+04 -0.530E+03 -0.371E+03 -0.467E+03 -0.230E+03 -0.307E+03 -0.664E+02 -0.886E+02 -0.722E+02 -0.977E+03
  1977 -0.455E+03 -0.952E+03 -0.414E+03 -0.288E+03 -0.367E+03 -0.181E+03 -0.251E+03 -0.557E+02 -0.762E+02 -0.993E+03
  1978 -0.483E+03 -0.281E+03 -0.747E+03 -0.325E+03 -0.227E+03 -0.289E+03 -0.148E+03 -0.211E+03 -0.481E+02 -0.909E+03
  1979 -0.598E+03 -0.295E+03 -0.222E+03 -0.587E+03 -0.255E+03 -0.179E+03 -0.236E+03 -0.125E+03 -0.181E+03 -0.991E+03
  1980 -0.560E+03 -0.366E+03 -0.232E+03 -0.173E+03 -0.462E+03 -0.201E+03 -0.146E+03 -0.198E+03 -0.107E+03 -0.958E+03
  1981 -0.697E+03 -0.341E+03 -0.285E+03 -0.181E+03 -0.136E+03 -0.364E+03 -0.164E+03 -0.123E+03 -0.171E+03 -0.867E+03
  1982 -0.175E+04 -0.426E+03 -0.269E+03 -0.223E+03 -0.142E+03 -0.107E+03 -0.298E+03 -0.138E+03 -0.105E+03 -0.827E+03
  1983 -0.146E+04 -0.107E+04 -0.336E+03 -0.209E+03 -0.176E+03 -0.112E+03 -0.870E+02 -0.251E+03 -0.118E+03 -0.823E+03
  1984 -0.120E+04 -0.891E+03 -0.842E+03 -0.264E+03 -0.165E+03 -0.139E+03 -0.917E+02 -0.731E+02 -0.216E+03 -0.850E+03
  1985 -0.102E+04 -0.738E+03 -0.696E+03 -0.661E+03 -0.208E+03 -0.130E+03 -0.113E+03 -0.769E+02 -0.631E+02 -0.993E+03
  1986 -0.128E+04 -0.625E+03 -0.580E+03 -0.545E+03 -0.519E+03 -0.163E+03 -0.106E+03 -0.952E+02 -0.660E+02 -0.945E+03
  1987 -0.199E+04 -0.781E+03 -0.490E+03 -0.457E+03 -0.429E+03 -0.408E+03 -0.133E+03 -0.893E+02 -0.817E+02 -0.864E+03
  1988 -0.236E+04 -0.122E+04 -0.615E+03 -0.386E+03 -0.360E+03 -0.338E+03 -0.334E+03 -0.111E+03 -0.768E+02 -0.815E+03
  1989 -0.539E+04 -0.144E+04 -0.961E+03 -0.483E+03 -0.303E+03 -0.282E+03 -0.277E+03 -0.280E+03 -0.961E+02 -0.832E+03
  1990 -0.423E+04 -0.329E+04 -0.113E+04 -0.754E+03 -0.380E+03 -0.238E+03 -0.231E+03 -0.233E+03 -0.240E+03 -0.863E+03
  1991 -0.125E+05 -0.258E+04 -0.259E+04 -0.888E+03 -0.594E+03 -0.299E+03 -0.195E+03 -0.194E+03 -0.201E+03 -0.978E+03
  1992 -0.989E+04 -0.766E+04 -0.203E+04 -0.203E+04 -0.697E+03 -0.468E+03 -0.244E+03 -0.164E+03 -0.167E+03 -0.108E+04
  1993 -0.808E+04 -0.607E+04 -0.602E+04 -0.159E+04 -0.160E+04 -0.548E+03 -0.383E+03 -0.205E+03 -0.141E+03 -0.111E+04
  1994 -0.101E+05 -0.495E+04 -0.476E+04 -0.472E+04 -0.125E+04 -0.126E+04 -0.448E+03 -0.322E+03 -0.176E+03 -0.112E+04
  1995 -0.791E+04 -0.620E+04 -0.389E+04 -0.375E+04 -0.372E+04 -0.985E+03 -0.103E+04 -0.376E+03 -0.277E+03 -0.117E+04
  1996 -0.113E+05 -0.485E+04 -0.488E+04 -0.306E+04 -0.295E+04 -0.292E+04 -0.806E+03 -0.865E+03 -0.323E+03 -0.131E+04
  1997 -0.859E+04 -0.696E+04 -0.380E+04 -0.383E+04 -0.240E+04 -0.232E+04 -0.239E+04 -0.676E+03 -0.744E+03 -0.146E+04
  1998 -0.607E+05 -0.526E+04 -0.546E+04 -0.299E+04 -0.301E+04 -0.189E+04 -0.190E+04 -0.201E+04 -0.582E+03 -0.197E+04
  1999 -0.591E+05 -0.372E+05 -0.411E+04 -0.428E+04 -0.234E+04 -0.237E+04 -0.155E+04 -0.159E+04 -0.173E+04 -0.228E+04
  2000 -0.643E+05 -0.362E+05 -0.292E+05 -0.323E+04 -0.336E+04 -0.184E+04 -0.194E+04 -0.130E+04 -0.137E+04 -0.360E+04
  2001 -0.710E+05 -0.391E+05 -0.284E+05 -0.230E+05 -0.253E+04 -0.264E+04 -0.151E+04 -0.163E+04 -0.112E+04 -0.446E+04
  2002 -0.985E+04 -0.435E+05 -0.307E+05 -0.223E+05 -0.181E+05 -0.199E+04 -0.216E+04 -0.127E+04 -0.140E+04 -0.500E+04
  2003  0.185E+06 -0.604E+04 -0.340E+05 -0.240E+05 -0.175E+05 -0.142E+05 -0.163E+04 -0.182E+04 -0.109E+04 -0.575E+04
  2004  0.143E+06  0.114E+06 -0.474E+04 -0.267E+05 -0.189E+05 -0.138E+05 -0.116E+05 -0.137E+04 -0.156E+04 -0.616E+04
  2005 -0.154E+06  0.878E+05  0.892E+05 -0.371E+04 -0.210E+05 -0.149E+05 -0.113E+05 -0.976E+04 -0.118E+04 -0.695E+04
  2006 -0.190E+06 -0.943E+05  0.690E+05  0.702E+05 -0.291E+04 -0.165E+05 -0.122E+05 -0.948E+04 -0.840E+04 -0.732E+04
  2007 -0.162E+06 -0.116E+06 -0.741E+05  0.542E+05  0.552E+05 -0.229E+04 -0.135E+05 -0.102E+05 -0.816E+04 -0.140E+05
  2008 -0.693E+05 -0.995E+05 -0.910E+05 -0.583E+05  0.427E+05  0.434E+05 -0.187E+04 -0.114E+05 -0.880E+04 -0.199E+05
  2009  0.562E+01 -0.425E+05 -0.782E+05 -0.716E+05 -0.458E+05  0.336E+05  0.355E+05 -0.157E+04 -0.977E+04 -0.257E+05
  2010             0.344E+01 -0.334E+05 -0.615E+05 -0.563E+05 -0.360E+05  0.275E+05  0.298E+05 -0.135E+04 -0.319E+05
====================================================================================================================     


TABLE 1D. STANDARD ERROR OF ABUNDANCE (BY AREA) OF EAST OF 45                                        
====================================================================================================================     
            1          2          3          4          5          6          7          8          9         10
--------------------------------------------------------------------------------------------------------------------     
  1950  0.126E+04  0.449E+03  0.657E+03  0.340E+03  0.212E+03  0.255E+03  0.144E+03  0.542E+02  0.341E+02  0.394E+02
  1951  0.110E+04  0.769E+03  0.352E+03  0.517E+03  0.267E+03  0.167E+03  0.209E+03  0.121E+03  0.469E+02  0.653E+02
  1952  0.182E+04  0.674E+03  0.605E+03  0.277E+03  0.406E+03  0.211E+03  0.136E+03  0.175E+03  0.104E+03  0.101E+03
  1953  0.172E+04  0.112E+04  0.530E+03  0.476E+03  0.218E+03  0.320E+03  0.172E+03  0.114E+03  0.150E+03  0.183E+03
  1954  0.199E+04  0.106E+04  0.879E+03  0.417E+03  0.374E+03  0.171E+03  0.262E+03  0.144E+03  0.987E+02  0.296E+03
  1955  0.127E+04  0.122E+04  0.830E+03  0.692E+03  0.328E+03  0.294E+03  0.140E+03  0.219E+03  0.124E+03  0.357E+03
  1956  0.648E+03  0.778E+03  0.960E+03  0.653E+03  0.544E+03  0.258E+03  0.241E+03  0.118E+03  0.189E+03  0.431E+03
  1957  0.397E+03  0.397E+03  0.612E+03  0.754E+03  0.514E+03  0.428E+03  0.211E+03  0.202E+03  0.101E+03  0.552E+03
  1958  0.784E+03  0.243E+03  0.312E+03  0.482E+03  0.591E+03  0.404E+03  0.351E+03  0.177E+03  0.174E+03  0.586E+03
  1959  0.671E+03  0.480E+03  0.191E+03  0.245E+03  0.379E+03  0.465E+03  0.331E+03  0.294E+03  0.153E+03  0.686E+03
  1960  0.585E+03  0.411E+03  0.378E+03  0.150E+03  0.193E+03  0.299E+03  0.381E+03  0.278E+03  0.254E+03  0.750E+03
  1961  0.827E+03  0.358E+03  0.324E+03  0.297E+03  0.118E+03  0.152E+03  0.244E+03  0.320E+03  0.239E+03  0.909E+03
  1962  0.189E+04  0.507E+03  0.282E+03  0.255E+03  0.234E+03  0.929E+02  0.124E+03  0.205E+03  0.275E+03  0.104E+04
  1963  0.258E+04  0.116E+04  0.399E+03  0.222E+03  0.200E+03  0.184E+03  0.759E+02  0.104E+03  0.176E+03  0.119E+04
  1964  0.191E+04  0.158E+04  0.913E+03  0.314E+03  0.174E+03  0.158E+03  0.150E+03  0.636E+02  0.898E+02  0.122E+04
