                ****************************************
                                VPA-2BOX                
                BOOTSTRAP ESTIMATES OF BIAS AND VARIANCE
                ****************************************


BFT East 55-06 test                               
12:14, 16 September 2010


 *************************************************
 BIAS AND STANDARD ERROR ESTIMATES
 *************************************************


TABLE 1A. BIAS OF FISHING MORTALITY RATE FOR EAST OF 45                                        
=============================================================================
        1      2      3      4      5      6      7      8      9     10
-----------------------------------------------------------------------------
  1953  0.509E-05  0.951E-05  0.795E-05  0.960E-05  0.422E-04  0.420E-04  0.742E-04  0.839E-04  0.756E-04  0.529E-04
  1954  0.508E-05  0.922E-05  0.147E-05  0.392E-05  0.403E-04  0.599E-04  0.433E-04  0.460E-04  0.111E-03  0.780E-04
  1955  0.682E-05  0.377E-04  0.718E-04  0.329E-04  0.355E-04  0.498E-04  0.772E-04  0.595E-04  0.133E-03  0.929E-04
  1956  0.336E-05  0.287E-04  0.416E-04  0.221E-04  0.252E-04  0.364E-04  0.482E-04  0.865E-04  0.953E-04  0.667E-04
  1957  0.374E-05  0.402E-04  0.764E-04  0.357E-04  0.298E-04  0.693E-04  0.114E-03  0.928E-04  0.117E-03  0.819E-04
  1958  0.191E-04  0.418E-04  0.879E-04  0.493E-04  0.925E-04  0.925E-04  0.803E-04  0.124E-03  0.107E-03  0.746E-04
  1959  0.799E-05  0.665E-04  0.112E-03  0.622E-04  0.397E-04  0.387E-04  0.367E-04  0.426E-04  0.124E-03  0.868E-04
  1960  0.554E-05  0.337E-04  0.644E-04  0.575E-04  0.116E-03  0.866E-04  0.497E-04  0.780E-04  0.115E-03  0.806E-04
  1961  0.749E-05  0.679E-04  0.115E-03  0.929E-04  0.159E-03  0.186E-03  0.577E-04  0.549E-04  0.139E-03  0.973E-04
  1962  0.604E-05  0.434E-04  0.106E-03  0.796E-04  0.125E-03  0.245E-03  0.124E-03  0.150E-03  0.156E-03  0.109E-03
  1963  0.499E-05  0.405E-04  0.848E-04  0.996E-04  0.121E-03  0.118E-03  0.161E-03  0.100E-03  0.832E-04  0.582E-04
  1964  0.102E-04  0.693E-04  0.119E-03  0.129E-03  0.183E-03  0.127E-03  0.133E-03  0.135E-03  0.954E-04  0.668E-04
  1965  0.736E-05  0.573E-04  0.942E-04  0.825E-04  0.836E-04  0.146E-03  0.159E-03  0.812E-04  0.113E-03  0.793E-04
  1966  0.341E-04  0.969E-04  0.252E-03  0.122E-03  0.738E-04  0.141E-03  0.127E-03  0.807E-04  0.674E-04  0.471E-04
  1967  0.758E-04  0.988E-04  0.139E-03  0.148E-03  0.687E-04  0.829E-04  0.213E-03  0.924E-04  0.127E-03  0.888E-04
  1968  0.276E-04  0.915E-04  0.113E-03  0.769E-04  0.876E-04  0.354E-04  0.818E-04  0.120E-03  0.764E-04  0.535E-04
  1969  0.665E-04  0.308E-03  0.243E-03  0.102E-03  0.426E-04  0.470E-04  0.288E-04  0.711E-04  0.111E-03  0.774E-04
  1970  0.484E-04  0.219E-03  0.175E-03  0.113E-03  0.442E-04  0.265E-04  0.503E-04  0.392E-04  0.714E-04  0.714E-04
  1971  0.327E-05  0.208E-03  0.260E-03  0.126E-03  0.104E-03  0.258E-04  0.225E-04  0.711E-04  0.575E-04  0.575E-04
  1972  0.795E-05  0.252E-03  0.412E-03  0.154E-03  0.121E-03  0.900E-04  0.326E-04  0.140E-04  0.412E-04  0.412E-04
  1973  0.830E-05  0.204E-03  0.228E-03  0.121E-03  0.586E-04  0.682E-04  0.105E-03  0.630E-04  0.440E-04  0.440E-04
  1974  0.216E-04  0.270E-03  0.298E-03  0.269E-03  0.195E-03  0.109E-03  0.738E-04  0.957E-04  0.899E-04  0.899E-04
  1975  0.836E-04  0.353E-03  0.267E-03  0.167E-03  0.876E-04  0.189E-03  0.104E-03  0.887E-04  0.115E-03  0.115E-03
  1976  0.134E-04  0.394E-03  0.683E-03  0.253E-03  0.192E-03  0.612E-04  0.132E-03  0.628E-04  0.957E-04  0.957E-04
  1977  0.622E-04  0.394E-03  0.318E-03  0.302E-03  0.520E-04  0.718E-04  0.552E-04  0.132E-03  0.982E-04  0.982E-04
  1978  0.161E-03  0.378E-03  0.360E-03  0.172E-03  0.897E-04  0.255E-04  0.526E-04  0.284E-04  0.801E-04  0.801E-04
  1979  0.198E-04  0.140E-03  0.408E-03  0.212E-03  0.822E-04  0.521E-04  0.391E-04  0.115E-03  0.751E-04  0.751E-04
  1980  0.912E-04  0.323E-03  0.697E-03  0.341E-03  0.740E-04  0.753E-04  0.652E-04  0.375E-04  0.823E-04  0.823E-04
  1981  0.853E-04  0.473E-03  0.588E-03  0.221E-03  0.182E-03  0.522E-04  0.723E-04  0.109E-03  0.637E-04  0.637E-04
  1982  0.434E-03  0.549E-03  0.805E-03  0.387E-03  0.159E-03  0.909E-04  0.575E-04  0.187E-03  0.135E-03  0.135E-03
  1983  0.252E-03  0.443E-03  0.636E-03  0.299E-03  0.202E-03  0.149E-03  0.280E-03  0.894E-04  0.148E-03  0.148E-03
  1984  0.164E-03  0.655E-03  0.315E-03  0.320E-03  0.329E-03  0.259E-03  0.229E-03  0.310E-03  0.173E-03  0.173E-03
  1985  0.132E-03  0.786E-03  0.866E-03  0.331E-03  0.189E-03  0.190E-03  0.108E-03  0.155E-03  0.218E-03  0.131E-03
  1986  0.312E-03  0.551E-03  0.638E-03  0.418E-03  0.100E-03  0.131E-03  0.120E-03  0.955E-04  0.217E-03  0.130E-03
  1987  0.322E-03  0.619E-03  0.675E-03  0.367E-03  0.143E-03  0.949E-04  0.251E-03  0.191E-03  0.206E-03  0.123E-03
  1988  0.649E-03  0.567E-03  0.877E-03  0.464E-03  0.193E-03  0.133E-03  0.162E-03  0.243E-03  0.327E-03  0.196E-03
  1989  0.718E-03  0.980E-03  0.537E-03  0.439E-03  0.457E-03  0.112E-03  0.175E-03  0.127E-03  0.269E-03  0.162E-03
  1990  0.527E-03  0.112E-02  0.114E-02  0.471E-03  0.547E-03  0.196E-03  0.195E-03  0.263E-03  0.336E-03  0.202E-03
  1991  0.411E-03  0.109E-02  0.123E-02  0.598E-03  0.561E-03  0.169E-03  0.180E-03  0.227E-03  0.523E-03  0.314E-03
  1992  0.433E-03  0.173E-02  0.177E-02  0.563E-03  0.337E-03  0.273E-03  0.406E-03  0.519E-03  0.660E-03  0.396E-03
  1993  0.394E-03  0.332E-02  0.244E-02  0.813E-03  0.405E-03  0.334E-03  0.342E-03  0.410E-03  0.676E-03  0.406E-03
  1994  0.794E-03  0.143E-02  0.177E-02  0.671E-03  0.814E-03  0.654E-03  0.104E-02  0.108E-02  0.179E-02  0.107E-02
  1995  0.691E-03  0.166E-02  0.176E-02  0.112E-02  0.925E-03  0.129E-02  0.726E-03  0.108E-02  0.122E-02  0.147E-02
