                ****************************************
                                VPA-2BOX                
                BOOTSTRAP ESTIMATES OF BIAS AND VARIANCE
                ****************************************


BFT East 55-06 test                               
12:14, 16 September 2010


 *************************************************
 BIAS AND STANDARD ERROR ESTIMATES
 *************************************************


TABLE 1A. BIAS OF FISHING MORTALITY RATE FOR EAST OF 45                                        
=============================================================================
        1      2      3      4      5      6      7      8      9     10
-----------------------------------------------------------------------------
  1956  0.665E+03  0.786E+03  0.973E+03  0.675E+03  0.569E+03  0.267E+03  0.253E+03  0.122E+03  0.196E+03  0.448E+03
  1957  0.404E+03  0.408E+03  0.618E+03  0.765E+03  0.531E+03  0.448E+03  0.219E+03  0.212E+03  0.105E+03  0.573E+03
  1958  0.794E+03  0.248E+03  0.320E+03  0.486E+03  0.602E+03  0.416E+03  0.367E+03  0.184E+03  0.183E+03  0.615E+03
  1959  0.672E+03  0.486E+03  0.195E+03  0.252E+03  0.382E+03  0.474E+03  0.341E+03  0.308E+03  0.158E+03  0.711E+03
  1960  0.580E+03  0.412E+03  0.382E+03  0.153E+03  0.198E+03  0.301E+03  0.388E+03  0.286E+03  0.265E+03  0.784E+03
  1961  0.831E+03  0.355E+03  0.323E+03  0.300E+03  0.121E+03  0.156E+03  0.246E+03  0.325E+03  0.246E+03  0.935E+03
  1962  0.188E+04  0.509E+03  0.279E+03  0.254E+03  0.236E+03  0.948E+02  0.127E+03  0.207E+03  0.280E+03  0.106E+04
  1963  0.252E+04  0.115E+04  0.400E+03  0.220E+03  0.199E+03  0.186E+03  0.775E+02  0.107E+03  0.178E+03  0.120E+04
  1964  0.184E+04  0.155E+04  0.907E+03  0.315E+03  0.173E+03  0.157E+03  0.152E+03  0.650E+02  0.921E+02  0.126E+04
  1965  0.438E+04  0.113E+04  0.122E+04  0.714E+03  0.247E+03  0.136E+03  0.129E+03  0.128E+03  0.560E+02  0.122E+04
  1966  0.263E+04  0.268E+04  0.886E+03  0.956E+03  0.561E+03  0.194E+03  0.111E+03  0.108E+03  0.110E+03  0.115E+04
  1967  0.117E+04  0.161E+04  0.211E+04  0.696E+03  0.752E+03  0.441E+03  0.159E+03  0.932E+02  0.929E+02  0.112E+04
  1968  0.102E+04  0.716E+03  0.127E+04  0.166E+04  0.548E+03  0.592E+03  0.362E+03  0.133E+03  0.803E+02  0.110E+04
  1969  0.103E+04  0.625E+03  0.563E+03  0.996E+03  0.130E+04  0.431E+03  0.484E+03  0.303E+03  0.115E+03  0.107E+04
  1970  0.695E+03  0.631E+03  0.491E+03  0.443E+03  0.783E+03  0.103E+04  0.353E+03  0.407E+03  0.261E+03  0.106E+04
  1971  0.227E+04  0.426E+03  0.496E+03  0.387E+03  0.348E+03  0.616E+03  0.841E+03  0.296E+03  0.350E+03  0.118E+04
  1972  0.147E+04  0.139E+04  0.335E+03  0.390E+03  0.304E+03  0.274E+03  0.504E+03  0.705E+03  0.255E+03  0.135E+04
  1973  0.259E+04  0.900E+03  0.110E+04  0.263E+03  0.307E+03  0.239E+03  0.224E+03  0.423E+03  0.607E+03  0.144E+04
  1974  0.181E+04  0.159E+04  0.708E+03  0.861E+03  0.207E+03  0.241E+03  0.196E+03  0.188E+03  0.364E+03  0.182E+04
  1975  0.206E+04  0.111E+04  0.125E+04  0.557E+03  0.677E+03  0.162E+03  0.198E+03  0.164E+03  0.162E+03  0.196E+04
  1976  0.376E+04  0.126E+04  0.870E+03  0.981E+03  0.438E+03  0.533E+03  0.133E+03  0.166E+03  0.141E+03  0.191E+04
  1977  0.107E+04  0.230E+04  0.993E+03  0.681E+03  0.772E+03  0.344E+03  0.435E+03  0.112E+03  0.143E+03  0.186E+04
  1978  0.113E+04  0.653E+03  0.181E+04  0.781E+03  0.536E+03  0.607E+03  0.282E+03  0.365E+03  0.961E+02  0.181E+04
  1979  0.148E+04  0.690E+03  0.512E+03  0.142E+04  0.614E+03  0.422E+03  0.497E+03  0.237E+03  0.315E+03  0.172E+04
  1980  0.146E+04  0.904E+03  0.543E+03  0.402E+03  0.112E+04  0.483E+03  0.345E+03  0.417E+03  0.204E+03  0.182E+04
  1981  0.176E+04  0.894E+03  0.710E+03  0.426E+03  0.316E+03  0.880E+03  0.395E+03  0.289E+03  0.359E+03  0.182E+04
  1982  0.427E+04  0.108E+04  0.701E+03  0.557E+03  0.335E+03  0.249E+03  0.721E+03  0.332E+03  0.249E+03  0.196E+04
  1983  0.364E+04  0.261E+04  0.847E+03  0.549E+03  0.438E+03  0.263E+03  0.204E+03  0.605E+03  0.285E+03  0.198E+04
  1984  0.297E+04  0.223E+04  0.205E+04  0.665E+03  0.431E+03  0.345E+03  0.216E+03  0.171E+03  0.521E+03  0.205E+04
  1985  0.254E+04  0.182E+04  0.175E+04  0.161E+04  0.523E+03  0.339E+03  0.282E+03  0.181E+03  0.147E+03  0.231E+04
  1986  0.320E+04  0.155E+04  0.143E+04  0.137E+04  0.127E+04  0.411E+03  0.278E+03  0.237E+03  0.156E+03  0.223E+04
  1987  0.500E+04  0.196E+04  0.122E+04  0.112E+04  0.108E+04  0.999E+03  0.337E+03  0.233E+03  0.204E+03  0.216E+04
  1988  0.586E+04  0.306E+04  0.153E+04  0.958E+03  0.881E+03  0.846E+03  0.818E+03  0.283E+03  0.201E+03  0.213E+04
  1989  0.135E+05  0.357E+04  0.241E+04  0.120E+04  0.753E+03  0.693E+03  0.693E+03  0.687E+03  0.243E+03  0.211E+04
  1990  0.106E+05  0.824E+04  0.280E+04  0.189E+04  0.947E+03  0.592E+03  0.567E+03  0.582E+03  0.591E+03  0.212E+04
  1991  0.316E+05  0.648E+04  0.647E+04  0.220E+04  0.149E+04  0.744E+03  0.485E+03  0.476E+03  0.501E+03  0.244E+04
  1992  0.250E+05  0.193E+05  0.509E+04  0.509E+04  0.173E+04  0.117E+04  0.609E+03  0.407E+03  0.409E+03  0.265E+04
  1993  0.204E+05  0.153E+05  0.152E+05  0.400E+04  0.400E+04  0.136E+04  0.958E+03  0.512E+03  0.350E+03  0.276E+04
  1994  0.257E+05  0.125E+05  0.120E+05  0.119E+05  0.314E+04  0.315E+04  0.111E+04  0.805E+03  0.440E+03  0.281E+04
  1995  0.201E+05  0.157E+05  0.983E+04  0.944E+04  0.939E+04  0.247E+04  0.258E+04  0.935E+03  0.692E+03  0.293E+04
  1996  0.288E+05  0.123E+05  0.124E+05  0.772E+04  0.742E+04  0.738E+04  0.202E+04  0.216E+04  0.805E+03  0.326E+04
  1997  0.218E+05  0.177E+05  0.964E+04  0.971E+04  0.607E+04  0.584E+04  0.605E+04  0.170E+04  0.186E+04  0.366E+04
  1998  0.154E+06  0.133E+05  0.139E+05  0.758E+04  0.763E+04  0.477E+04  0.478E+04  0.507E+04  0.146E+04  0.495E+04
  1999  0.150E+06  0.943E+05  0.104E+05  0.109E+05  0.595E+04  0.600E+04  0.390E+04  0.401E+04  0.437E+04  0.577E+04
  2000  0.163E+06  0.918E+05  0.741E+05  0.817E+04  0.854E+04  0.468E+04  0.491E+04  0.327E+04  0.345E+04  0.907E+04
  2001  0.180E+06  0.992E+05  0.720E+05  0.582E+05  0.642E+04  0.671E+04  0.383E+04  0.412E+04  0.282E+04  0.112E+05
  2002  0.175E+06  0.110E+06  0.777E+05  0.566E+05  0.458E+05  0.505E+04  0.549E+04  0.321E+04  0.355E+04  0.127E+05
  2003  0.332E+06  0.107E+06  0.861E+05  0.610E+05  0.445E+05  0.360E+05  0.413E+04  0.461E+04  0.276E+04  0.146E+05
  2004  0.475E+06  0.203E+06  0.844E+05  0.677E+05  0.479E+05  0.350E+05  0.295E+05  0.346E+04  0.397E+04  0.156E+05
  2005  0.250E+06  0.291E+06  0.160E+06  0.662E+05  0.533E+05  0.377E+05  0.286E+05  0.247E+05  0.298E+04  0.176E+05
  2006  0.164E+06  0.153E+06  0.229E+06  0.126E+06  0.521E+05  0.419E+05  0.309E+05  0.240E+05  0.213E+05  0.185E+05
  2007  0.623E+05  0.998E+05  0.120E+06  0.179E+06  0.987E+05  0.409E+05  0.343E+05  0.259E+05  0.207E+05  0.355E+05
  2008  0.224E+05  0.381E+05  0.782E+05  0.943E+05  0.141E+06  0.776E+05  0.335E+05  0.288E+05  0.223E+05  0.503E+05
  2009  0.207E+05  0.137E+05  0.299E+05  0.615E+05  0.741E+05  0.111E+06  0.635E+05  0.281E+05  0.247E+05  0.652E+05
  2010             0.127E+05  0.107E+05  0.235E+05  0.483E+05  0.583E+05  0.906E+05  0.533E+05  0.242E+05  0.808E+05
====================================================================================================================     


TABLE 1E. PARAMETER ESTIMATES FOR EAST OF 45                                        
==================================================================
 
 TERMINAL AGE STRUCTURE OF POPULATION ABUNDANCE
                  Average of               Std.              
  Age      MLE    bootstraps    Bias       Error   % CV      
  ---  ---------- ---------- ---------- ---------- -----     
    2   0.104E+06  0.990E+05 -0.490E+04  0.127E+05  12.8
    3   0.476E+05  0.493E+05  0.253E+04  0.107E+05  21.8
    4   0.105E+06  0.108E+06  0.683E+04  0.235E+05  21.7
    5   0.110E+06  0.137E+06  0.311E+05  0.483E+05  35.2
    6   0.133E+06  0.154E+06  0.212E+05  0.583E+05  37.9
    7   0.214E+06  0.268E+06  0.816E+05  0.906E+05  33.8
    8   0.156E+06  0.174E+06  0.388E+04  0.533E+05  30.7
    9   0.899E+05  0.948E+05  0.273E+04  0.242E+05  25.5
   10   0.366E+06  0.317E+06 -0.438E+05  0.808E+05  25.5
 
 TERMINAL AGE STRUCTURE OF FISHING MORTALITY RATE
                  Average of               Std.              
  Age      MLE    bootstraps    Bias       Error   % CV      
  ---  ---------- ---------- ---------- ---------- -----     
    1   0.100E-01  0.108E-01  0.782E-03  0.234E-02  21.7
    2   0.349E+00  0.358E+00  0.362E-02  0.110E+00  30.8
    3   0.159E+00  0.164E+00 -0.297E-03  0.501E-01  30.6
    4   0.352E+00  0.327E+00 -0.364E-01  0.132E+00  40.4
    5   0.151E+00  0.152E+00  0.314E-03  0.665E-01  43.8
    6   0.122E+00  0.110E+00 -0.288E-01  0.402E-01  36.5
    7   0.177E+00  0.174E+00  0.105E-01  0.527E-01  30.2
    8   0.180E+00  0.181E+00  0.473E-02  0.417E-01  23.0
    9   0.936E-01  0.113E+00  0.182E-01  0.258E-01  22.9
   10   0.112E+00  0.136E+00  0.219E-01  0.310E-01  22.9
 
 RATIO OF FISHING MORTALITY RATE ON LAST TWO AGES (F-RATIO)
                  Average of               Std.              
 Year      MLE    bootstraps    Bias       Error   % CV      
 ----  ---------- ---------- ---------- ---------- -----     
 1950   0.700E+00  0.700E+00  0.000E+00  0.321E-07   0.0
 1951   0.700E+00  0.700E+00  0.000E+00  0.209E-07   0.0
 1952   0.700E+00  0.700E+00  0.000E+00  0.266E-07   0.0
 1953   0.700E+00  0.700E+00  0.000E+00  0.306E-07   0.0
 1954   0.700E+00  0.700E+00  0.000E+00  0.242E-07   0.0
 1955   0.700E+00  0.700E+00  0.000E+00  0.202E-07   0.0
 1956   0.700E+00  0.700E+00  0.000E+00  0.252E-07   0.0
 1957   0.700E+00  0.700E+00  0.000E+00  0.196E-07   0.0
 1958   0.700E+00  0.700E+00  0.000E+00  0.300E-07   0.0
 1959   0.700E+00  0.700E+00  0.000E+00  0.273E-07   0.0
 1960   0.700E+00  0.700E+00  0.000E+00  0.230E-07   0.0
 1961   0.700E+00  0.700E+00  0.000E+00  0.289E-07   0.0
 1962   0.700E+00  0.700E+00  0.000E+00  0.276E-07   0.0
 1963   0.700E+00  0.700E+00  0.000E+00  0.292E-07   0.0
 1964   0.700E+00  0.700E+00  0.000E+00  0.257E-07   0.0
 1965   0.700E+00  0.700E+00  0.000E+00  0.235E-07   0.0
 1966   0.700E+00  0.700E+00  0.000E+00  0.271E-07   0.0
 1967   0.700E+00  0.700E+00  0.000E+00  0.211E-07   0.0
 1968   0.700E+00  0.700E+00  0.000E+00  0.287E-07   0.0
 1969   0.700E+00  0.700E+00  0.000E+00  0.272E-07   0.0
 1970   0.100E+01  0.100E+01  0.000E+00  0.000E+00   0.0
 1971   0.100E+01  0.100E+01  0.000E+00  0.000E+00   0.0
 1972   0.100E+01  0.100E+01  0.000E+00  0.000E+00   0.0
 1973   0.100E+01  0.100E+01  0.000E+00  0.000E+00   0.0
 1974   0.100E+01  0.100E+01  0.000E+00  0.000E+00   0.0
 1975   0.100E+01  0.100E+01  0.000E+00  0.000E+00   0.0
 1976   0.100E+01  0.100E+01  0.000E+00  0.000E+00   0.0
 1977   0.100E+01  0.100E+01  0.000E+00  0.000E+00   0.0
 1978   0.100E+01  0.100E+01  0.000E+00  0.000E+00   0.0
 1979   0.100E+01  0.100E+01  0.000E+00  0.000E+00   0.0
 1980   0.100E+01  0.100E+01  0.000E+00  0.000E+00   0.0
 1981   0.100E+01  0.100E+01  0.000E+00  0.000E+00   0.0
 1982   0.100E+01  0.100E+01  0.000E+00  0.000E+00   0.0
 1983   0.100E+01  0.100E+01  0.000E+00  0.000E+00   0.0
 1984   0.100E+01  0.100E+01  0.000E+00  0.000E+00   0.0
 1985   0.600E+00  0.600E+00  0.000E+00  0.231E-07   0.0
 1986   0.600E+00  0.600E+00  0.000E+00  0.240E-07   0.0
 1987   0.600E+00  0.600E+00  0.000E+00  0.267E-07   0.0
 1988   0.600E+00  0.600E+00  0.000E+00  0.184E-07   0.0
 1989   0.600E+00  0.600E+00  0.000E+00  0.227E-07   0.0
 1990   0.600E+00  0.600E+00  0.000E+00  0.187E-07   0.0
 1991   0.600E+00  0.600E+00  0.000E+00  0.268E-07   0.0
 1992   0.600E+00  0.600E+00  0.000E+00  0.224E-07   0.0
 1993   0.600E+00  0.600E+00  0.000E+00  0.241E-07   0.0
 1994   0.600E+00  0.600E+00  0.000E+00  0.201E-07   0.0
 1995   0.120E+01  0.120E+01  0.000E+00  0.393E-07   0.0
 1996   0.120E+01  0.120E+01  0.000E+00  0.352E-07   0.0
 1997   0.120E+01  0.120E+01  0.000E+00  0.350E-07   0.0
 1998   0.120E+01  0.120E+01  0.000E+00  0.523E-07   0.0
 1999   0.120E+01  0.120E+01  0.000E+00  0.389E-07   0.0
 2000   0.120E+01  0.120E+01  0.000E+00  0.383E-07   0.0
 2001   0.120E+01  0.120E+01  0.000E+00  0.416E-07   0.0
 2002   0.120E+01  0.120E+01  0.000E+00  0.437E-07   0.0
 2003   0.120E+01  0.120E+01  0.000E+00  0.441E-07   0.0
 2004   0.120E+01  0.120E+01  0.000E+00  0.491E-07   0.0
 2005   0.120E+01  0.120E+01  0.000E+00  0.383E-07   0.0
 2006   0.120E+01  0.120E+01  0.000E+00  0.406E-07   0.0
 2007   0.120E+01  0.120E+01  0.000E+00  0.435E-07   0.0
 2008   0.120E+01  0.120E+01  0.000E+00  0.418E-07   0.0
 2009   0.120E+01  0.120E+01  0.000E+00  0.432E-07   0.0
 
 NATURAL MORTALITY RATE
                  Average of               Std.              
  Age      MLE    bootstraps    Bias       Error   % CV      
  ---  ---------- ---------- ---------- ---------- -----     
    1   0.490E+00  0.490E+00  0.000E+00  0.000E+00   0.0
    2   0.240E+00  0.240E+00  0.000E+00  0.000E+00   0.0
    3   0.240E+00  0.240E+00  0.000E+00  0.000E+00   0.0
    4   0.240E+00  0.240E+00  0.000E+00  0.000E+00   0.0
    5   0.240E+00  0.240E+00  0.000E+00  0.000E+00   0.0
    6   0.200E+00  0.200E+00  0.000E+00  0.000E+00   0.0
    7   0.175E+00  0.175E+00  0.000E+00  0.000E+00   0.0
    8   0.150E+00  0.150E+00  0.000E+00  0.000E+00   0.0
    9   0.125E+00  0.125E+00  0.000E+00  0.000E+00   0.0
   10   0.100E+00  0.100E+00  0.000E+00  0.000E+00   0.0
 
 TRANSFER COEFFICIENTS
                  Average of               Std.              
  Age      MLE    bootstraps    Bias       Error   % CV      
  ---  ---------- ---------- ---------- ---------- -----     
    1   0.000E+00  0.000E+00  0.000E+00  0.000E+00   0.0
    2   0.000E+00  0.000E+00  0.000E+00  0.000E+00   0.0
    3   0.000E+00  0.000E+00  0.000E+00  0.000E+00   0.0
    4   0.000E+00  0.000E+00  0.000E+00  0.000E+00   0.0
    5   0.000E+00  0.000E+00  0.000E+00  0.000E+00   0.0
    6   0.000E+00  0.000E+00  0.000E+00  0.000E+00   0.0
    7   0.000E+00  0.000E+00  0.000E+00  0.000E+00   0.0
    8   0.000E+00  0.000E+00  0.000E+00  0.000E+00   0.0
    9   0.000E+00  0.000E+00  0.000E+00  0.000E+00   0.0
   10   0.000E+00  0.000E+00  0.000E+00  0.000E+00   0.0
 
 
 VARIANCE SCALING PARAMETERS
                  Average of               Std.              
 Index     MLE    bootstraps    Bias       Error   % CV      
 ----- ---------- ---------- ---------- ---------- -----     
    1   0.886E+00  0.877E+00 -0.945E-02  0.900E-01  10.3
    2   0.886E+00  0.877E+00 -0.945E-02  0.900E-01  10.3
    3   0.886E+00  0.877E+00 -0.945E-02  0.900E-01  10.3
    4   0.886E+00  0.877E+00 -0.945E-02  0.900E-01  10.3
    5   0.886E+00  0.877E+00 -0.945E-02  0.900E-01  10.3
    6   0.886E+00  0.877E+00 -0.945E-02  0.900E-01  10.3
    7   0.886E+00  0.877E+00 -0.945E-02  0.900E-01  10.3
    8   0.886E+00  0.877E+00 -0.945E-02  0.900E-01  10.3
    9   0.886E+00  0.877E+00 -0.945E-02  0.900E-01  10.3
   10   0.886E+00  0.877E+00 -0.945E-02  0.900E-01  10.3
   11   0.886E+00  0.877E+00 -0.945E-02  0.900E-01  10.3
   12   0.886E+00  0.877E+00 -0.945E-02  0.900E-01  10.3
 
 CATCHABILITY COEFFICIENTS
                         Average of               Std.           
 Index  Year      MLE    bootstraps    Bias       Error   % CV   
 -----  ----  ---------- ---------- ---------- ---------- -----  
    1   1950   0.136E-05  0.140E-05 -0.107E-06  0.135E-06   9.6
    1   1951   0.136E-05  0.140E-05 -0.107E-06  0.135E-06   9.6
    1   1952   0.136E-05  0.140E-05 -0.107E-06  0.135E-06   9.6
    1   1953   0.136E-05  0.140E-05 -0.107E-06  0.135E-06   9.6
    1   1954   0.136E-05  0.140E-05 -0.107E-06  0.135E-06   9.6
    1   1955   0.136E-05  0.140E-05 -0.107E-06  0.135E-06   9.6
    1   1956   0.136E-05  0.140E-05 -0.107E-06  0.135E-06   9.6
    1   1957   0.136E-05  0.140E-05 -0.107E-06  0.135E-06   9.6
    1   1958   0.136E-05  0.140E-05 -0.107E-06  0.135E-06   9.6
    1   1959   0.136E-05  0.140E-05 -0.107E-06  0.135E-06   9.6
    1   1960   0.136E-05  0.140E-05 -0.107E-06  0.135E-06   9.6
    1   1961   0.136E-05  0.140E-05 -0.107E-06  0.135E-06   9.6
    1   1962   0.136E-05  0.140E-05 -0.107E-06  0.135E-06   9.6
    1   1963   0.136E-05  0.140E-05 -0.107E-06  0.135E-06   9.6
    1   1964   0.136E-05  0.140E-05 -0.107E-06  0.135E-06   9.6
    1   1965   0.136E-05  0.140E-05 -0.107E-06  0.135E-06   9.6
    1   1966   0.136E-05  0.140E-05 -0.107E-06  0.135E-06   9.6
    1   1967   0.136E-05  0.140E-05 -0.107E-06  0.135E-06   9.6
    1   1968   0.136E-05  0.140E-05 -0.107E-06  0.135E-06   9.6
    1   1969   0.136E-05  0.140E-05 -0.107E-06  0.135E-06   9.6
    1   1970   0.136E-05  0.140E-05 -0.107E-06  0.135E-06   9.6
    1   1971   0.136E-05  0.140E-05 -0.107E-06  0.135E-06   9.6
    1   1972   0.136E-05  0.140E-05 -0.107E-06  0.135E-06   9.6
    1   1973   0.136E-05  0.140E-05 -0.107E-06  0.135E-06   9.6
    1   1974   0.136E-05  0.140E-05 -0.107E-06  0.135E-06   9.6
    1   1975   0.136E-05  0.140E-05 -0.107E-06  0.135E-06   9.6
    1   1976   0.136E-05  0.140E-05 -0.107E-06  0.135E-06   9.6
    1   1977   0.136E-05  0.140E-05 -0.107E-06  0.135E-06   9.6
    1   1978   0.136E-05  0.140E-05 -0.107E-06  0.135E-06   9.6
    1   1979   0.136E-05  0.140E-05 -0.107E-06  0.135E-06   9.6
    1   1980   0.136E-05  0.140E-05 -0.107E-06  0.135E-06   9.6
    1   1981   0.136E-05  0.140E-05 -0.107E-06  0.135E-06   9.6
    1   1982   0.136E-05  0.140E-05 -0.107E-06  0.135E-06   9.6
    1   1983   0.136E-05  0.140E-05 -0.107E-06  0.135E-06   9.6
    1   1984   0.136E-05  0.140E-05 -0.107E-06  0.135E-06   9.6
    1   1985   0.136E-05  0.140E-05 -0.107E-06  0.135E-06   9.6
    1   1986   0.136E-05  0.140E-05 -0.107E-06  0.135E-06   9.6
    1   1987   0.136E-05  0.140E-05 -0.107E-06  0.135E-06   9.6
    1   1988   0.136E-05  0.140E-05 -0.107E-06  0.135E-06   9.6
    1   1989   0.136E-05  0.140E-05 -0.107E-06  0.135E-06   9.6
    1   1990   0.136E-05  0.140E-05 -0.107E-06  0.135E-06   9.6
    1   1991   0.136E-05  0.140E-05 -0.107E-06  0.135E-06   9.6
    1   1992   0.136E-05  0.140E-05 -0.107E-06  0.135E-06   9.6
    1   1993   0.136E-05  0.140E-05 -0.107E-06  0.135E-06   9.6
    1   1994   0.136E-05  0.140E-05 -0.107E-06  0.135E-06   9.6
    1   1995   0.136E-05  0.140E-05 -0.107E-06  0.135E-06   9.6
    1   1996   0.136E-05  0.140E-05 -0.107E-06  0.135E-06   9.6
    1   1997   0.136E-05  0.140E-05 -0.107E-06  0.135E-06   9.6
    1   1998   0.136E-05  0.140E-05 -0.107E-06  0.135E-06   9.6
    1   1999   0.136E-05  0.140E-05 -0.107E-06  0.135E-06   9.6
    1   2000   0.136E-05  0.140E-05 -0.107E-06  0.135E-06   9.6
    1   2001   0.136E-05  0.140E-05 -0.107E-06  0.135E-06   9.6
    1   2002   0.136E-05  0.140E-05 -0.107E-06  0.135E-06   9.6
    1   2003   0.136E-05  0.140E-05 -0.107E-06  0.135E-06   9.6
    1   2004   0.136E-05  0.140E-05 -0.107E-06  0.135E-06   9.6
    1   2005   0.136E-05  0.140E-05 -0.107E-06  0.135E-06   9.6
    1   2006   0.136E-05  0.140E-05 -0.107E-06  0.135E-06   9.6
    1   2007   0.136E-05  0.140E-05 -0.107E-06  0.135E-06   9.6
    1   2008   0.136E-05  0.140E-05 -0.107E-06  0.135E-06   9.6
    1   2009   0.136E-05  0.140E-05 -0.107E-06  0.135E-06   9.6
    2   1950   0.000E+00  0.000E+00  0.000E+00  0.000E+00   0.0
    2   1951   0.000E+00  0.000E+00  0.000E+00  0.000E+00   0.0
    2   1952   0.000E+00  0.000E+00  0.000E+00  0.000E+00   0.0
    2   1953   0.000E+00  0.000E+00  0.000E+00  0.000E+00   0.0
    2   1954   0.000E+00  0.000E+00  0.000E+00  0.000E+00   0.0
    2   1955   0.000E+00  0.000E+00  0.000E+00  0.000E+00   0.0
    2   1956   0.000E+00  0.000E+00  0.000E+00  0.000E+00   0.0
    2   1957   0.000E+00  0.000E+00  0.000E+00  0.000E+00   0.0
    2   1958   0.000E+00  0.000E+00  0.000E+00  0.000E+00   0.0
    2   1959   0.000E+00  0.000E+00  0.000E+00  0.000E+00   0.0
    2   1960   0.000E+00  0.000E+00  0.000E+00  0.000E+00   0.0
    2   1961   0.000E+00  0.000E+00  0.000E+00  0.000E+00   0.0
    2   1962   0.000E+00  0.000E+00  0.000E+00  0.000E+00   0.0
    2   1963   0.000E+00  0.000E+00  0.000E+00  0.000E+00   0.0
    2   1964   0.000E+00  0.000E+00  0.000E+00  0.000E+00   0.0
    2   1965   0.000E+00  0.000E+00  0.000E+00  0.000E+00   0.0
    2   1966   0.000E+00  0.000E+00  0.000E+00  0.000E+00   0.0
    2   1967   0.000E+00  0.000E+00  0.000E+00  0.000E+00   0.0
    2   1968   0.000E+00  0.000E+00  0.000E+00  0.000E+00   0.0
    2   1969   0.000E+00  0.000E+00  0.000E+00  0.000E+00   0.0
    2   1970   0.000E+00  0.000E+00  0.000E+00  0.000E+00   0.0
    2   1971   0.000E+00  0.000E+00  0.000E+00  0.000E+00   0.0
    2   1972   0.000E+00  0.000E+00  0.000E+00  0.000E+00   0.0
    2   1973   0.000E+00  0.000E+00  0.000E+00  0.000E+00   0.0
    2   1974   0.000E+00  0.000E+00  0.000E+00  0.000E+00   0.0
    2   1975   0.000E+00  0.000E+00  0.000E+00  0.000E+00   0.0
    2   1976   0.000E+00  0.000E+00  0.000E+00  0.000E+00   0.0
    2   1977   0.000E+00  0.000E+00  0.000E+00  0.000E+00   0.0
    2   1978   0.000E+00  0.000E+00  0.000E+00  0.000E+00   0.0
    2   1979   0.000E+00  0.000E+00  0.000E+00  0.000E+00   0.0
    2   1980   0.000E+00  0.000E+00  0.000E+00  0.000E+00   0.0
    2   1981   0.000E+00  0.000E+00  0.000E+00  0.000E+00   0.0
    2   1982   0.000E+00  0.000E+00  0.000E+00  0.000E+00   0.0
    2   1983   0.000E+00  0.000E+00  0.000E+00  0.000E+00   0.0
    2   1984   0.000E+00  0.000E+00  0.000E+00  0.000E+00   0.0
    2   1985   0.000E+00  0.000E+00  0.000E+00  0.000E+00   0.0
    2   1986   0.000E+00  0.000E+00  0.000E+00  0.000E+00   0.0
    2   1987   0.000E+00  0.000E+00  0.000E+00  0.000E+00   0.0
    2   1988   0.000E+00  0.000E+00  0.000E+00  0.000E+00   0.0
    2   1989   0.000E+00  0.000E+00  0.000E+00  0.000E+00   0.0
    2   1990   0.000E+00  0.000E+00  0.000E+00  0.000E+00   0.0
    2   1991   0.000E+00  0.000E+00  0.000E+00  0.000E+00   0.0
    2   1992   0.000E+00  0.000E+00  0.000E+00  0.000E+00   0.0
    2   1993   0.000E+00  0.000E+00  0.000E+00  0.000E+00   0.0
    2   1994   0.000E+00  0.000E+00  0.000E+00  0.000E+00   0.0
    2   1995   0.000E+00  0.000E+00  0.000E+00  0.000E+00   0.0
    2   1996   0.000E+00  0.000E+00  0.000E+00  0.000E+00   0.0
    2   1997   0.000E+00  0.000E+00  0.000E+00  0.000E+00   0.0
    2   1998   0.000E+00  0.000E+00  0.000E+00  0.000E+00   0.0
    2   1999   0.000E+00  0.000E+00  0.000E+00  0.000E+00   0.0
    2   2000   0.000E+00  0.000E+00  0.000E+00  0.000E+00   0.0
    2   2001   0.000E+00  0.000E+00  0.000E+00  0.000E+00   0.0
    2   2002   0.000E+00  0.000E+00  0.000E+00  0.000E+00   0.0
    2   2003   0.000E+00  0.000E+00  0.000E+00  0.000E+00   0.0
    2   2004   0.000E+00  0.000E+00  0.000E+00  0.000E+00   0.0
    2   2005   0.000E+00  0.000E+00  0.000E+00  0.000E+00   0.0
    2   2006   0.000E+00  0.000E+00  0.000E+00  0.000E+00   0.0
    2   2007   0.000E+00  0.000E+00  0.000E+00  0.000E+00   0.0
    2   2008   0.000E+00  0.000E+00  0.000E+00  0.000E+00   0.0
    2   2009   0.000E+00  0.000E+00  0.000E+00  0.000E+00   0.0
    3   1950   0.868E-06  0.885E-06 -0.393E-06  0.166E-06  18.8
    3   1951   0.868E-06  0.885E-06 -0.393E-06  0.166E-06  18.8
    3   1952   0.868E-06  0.885E-06 -0.393E-06  0.166E-06  18.8
    3   1953   0.868E-06  0.885E-06 -0.393E-06  0.166E-06  18.8
    3   1954   0.868E-06  0.885E-06 -0.393E-06  0.166E-06  18.8
    3   1955   0.868E-06  0.885E-06 -0.393E-06  0.166E-06  18.8
    3   1956   0.868E-06  0.885E-06 -0.393E-06  0.166E-06  18.8
    3   1957   0.868E-06  0.885E-06 -0.393E-06  0.166E-06  18.8
    3   1958   0.868E-06  0.885E-06 -0.393E-06  0.166E-06  18.8
    3   1959   0.868E-06  0.885E-06 -0.393E-06  0.166E-06  18.8
    3   1960   0.868E-06  0.885E-06 -0.393E-06  0.166E-06  18.8
    3   1961   0.868E-06  0.885E-06 -0.393E-06  0.166E-06  18.8
