Species,Habitat,M,Sex,T,L,Linf,k,Reference
Hippoglossoides platessoides,Demersal,0.23,F,-0.5,53,81.1,0.06,Pitt(1973)
Hippoglossoides platessoides,Demersal,0.18,F,-0.8,54,60,0.07,Pitt(1973)
Hippoglossoides platessoides,Demersal,0.18,F,1.5,62,72.5,0.11,Pitt(1973)
Hippoglossoides platessoides,Demersal,0.3,M,0,37,42.6,0.1,Pitt(1973)
Hippoglossoides platessoides,Demersal,0.25,M,-0.5,44,55.2,0.11,Pitt(1973)
Hippoglossoides platessoides,Demersal,0.27,M,-0.8,49,50,0.09,Pitt(1973)
Hippoglossoides platessoides,Demersal,0.26,M,1.5,52,58.5,0.15,Pitt(1973)
Hippoglossus stenolepis,Demersal,0.2,C,5,75,215,0.05,Chen & Xiao(2006)
Hyporhamphus melanochir,Pelagic,0.53,M,20,34,36.7,0.51,Jones(1990)
Hyporhamphus melanochir,Pelagic,0.36,F,20,35.9,38.7,0.54,Jones(1990)
Katsuwonus pelamis,Pelagic,10,C,25,25,65.1,1.3,Hampton(2000)
Katsuwonus pelamis,Pelagic,4.5,C,25,35,65.1,1.3,Hampton(2000)
Katsuwonus pelamis,Pelagic,1.6,C,25,45,65.1,1.3,Hampton(2000)
Katsuwonus pelamis,Pelagic,1.2,C,25,55,65.1,1.3,Hampton(2000)
Katsuwonus pelamis,Pelagic,2,C,25,65,65.1,1.3,Hampton(2000)
Lamna nasus,Pelagic,0.18,C,7,189,280,0.12,Aasen(1963)
Lethrinus miniatus,Demersal,0.44,C,26,44,45.3,0.48,Williams et al.(2007)
Lethrinus miniatus,Demersal,1.06,C,26,45.8,47.2,0.48,Williams et al.(2007)
Lethrinus miniatus,Demersal,0.57,C,26,43.4,46.3,0.38,Williams et al.(2007)
Lopholatilus chamaeleontoceps,Demersal,0.25,M,10,74.5,92.2,0.09,Harris & Grossman(1985)
Lopholatilus chamaeleontoceps,Demersal,0.25,F,10,70.5,86.5,0.09,Harris & Grossman(1985)
Lutjanus adetii,Demersal,0.24,C,25.7,24.1,25.4,0.32,Newman et al.(1996)
Lutjanus carponotatus,Demersal,0.2,C,25.7,28.7,31.3,0.45,Newman et al.(2000a)
Lutjanus erythropterus,Demersal,0.15,C,25.7,51.7,58.5,0.38,Newman et al.(2000b)
Lutjanus malabaricus,Demersal,0.11,C,26.9,49.6,62.2,0.23,Newman(2002b)
Lutjanus malabaricus,Demersal,0.13,C,25.7,59.1,72.8,0.29,Newman et al.(2000b)
Lutjanus quinquilineatus,Demersal,0.15,C,25.7,19.2,20.7,0.31,Newman et al.(1996)
