 Simul. Age-Len HiF - cut 25. - mesh 20 - NO qtrend                    
 1, 20
 Year, CatRec, CatFull , Urec, Ufull, Wrec, Wfull, Srat , M
  1,     83.8,   2229.8,   2.884,   9.301,  0.084,  1.164, 1.0, 0.2
  2,     79.1,   1861.6,   2.847,   7.824,  0.084,  1.156, 1.0, 0.2
  3,     28.3,   1557.1,   1.089,   6.914,  0.087,  1.117, 1.0, 0.2
  4,     55.1,   1334.6,   1.923,   5.105,  0.083,  1.255, 1.0, 0.2
  5,     52.8,   1133.2,   1.794,   4.455,  0.084,  1.187, 1.0, 0.2
  6,     48.3,    923.2,   1.598,   4.005,  0.084,  1.081, 1.0, 0.2
  7,     39.6,    793.3,   1.387,   3.673,  0.084,  1.020, 1.0, 0.2
  8,     41.0,    707.6,   1.518,   3.359,  0.084,  1.020, 1.0, 0.2
  9,     23.8,    638.8,   0.961,   3.278,  0.085,  0.994, 1.0, 0.2
 10,     38.0,    575.4,   1.566,   2.852,  0.083,  1.074, 1.0, 0.2
 11,     35.3,    534.8,   1.560,   3.024,  0.084,  0.998, 1.0, 0.2
 12,     13.4,    497.4,   0.670,   3.196,  0.087,  0.957, 1.0, 0.2
 13,     16.5,    435.5,   0.937,   2.690,  0.083,  1.129, 1.0, 0.2
 14,     42.6,    460.5,   2.232,   2.541,  0.083,  1.202, 1.0, 0.2
 15,     41.1,    476.6,   2.058,   3.393,  0.084,  0.942, 1.0, 0.2
 16,     36.1,    569.2,   1.670,   3.941,  0.084,  0.883, 1.0, 0.2
 17,     36.8,    687.9,   1.625,   4.004,  0.084,  0.946, 1.0, 0.2
 18,     43.6,    756.1,   1.817,   3.914,  0.084,  1.005, 1.0, 0.2
 19,     35.9,    769.0,   1.435,   3.923,  0.085,  0.997, 1.0, 0.2
 20,     42.7,    750.6,   1.629,   3.627,  0.084,  1.030, 1.0, 0.2
 0.2  !! M - temporary, remove later


  TRUE states
 Year , Btot , RecN , FullN , SSB ,  F* , C/N , qr , qf , S 
  1,  11065.4,   2805.1,   9381.5,   3773.7, 0.243, 0.190, 0.999E-03, 0.100E-02, 0.999
  2,   9286.4,   2770.2,   7902.3,   2923.7, 0.234, 0.182, 0.999E-03, 0.100E-02, 0.999
  3,   7817.5,   1006.3,   6996.9,   2504.1, 0.250, 0.198, 0.999E-03, 0.100E-02, 0.999
  4,   6565.9,   1899.0,   5130.4,   2099.4, 0.256, 0.198, 0.999E-03, 0.100E-02, 0.999
  5,   5439.2,   1741.1,   4508.7,   1755.2, 0.245, 0.190, 0.999E-03, 0.100E-02, 0.999
  6,   4464.9,   1549.8,   4053.8,   1481.8, 0.222, 0.173, 0.999E-03, 0.100E-02, 0.999
  7,   3862.2,   1343.7,   3716.7,   1087.5, 0.210, 0.165, 0.999E-03, 0.100E-02, 0.999
  8,   3552.2,   1482.1,   3395.7,    921.2, 0.197, 0.153, 0.999E-03, 0.100E-02, 0.999
  9,   3341.6,    918.3,   3321.6,    856.3, 0.196, 0.156, 0.999E-03, 0.100E-02, 0.999
 10,   3193.0,   1543.4,   2876.1,    830.0, 0.179, 0.139, 0.999E-03, 0.100E-02, 0.999
 11,   3149.2,   1517.5,   3067.5,    826.8, 0.161, 0.124, 0.999E-03, 0.100E-02, 0.999
 12,   3117.3,    625.2,   3241.6,    855.3, 0.163, 0.132, 0.999E-03, 0.100E-02, 0.999
 13,   3115.0,    921.1,   2706.6,    842.0, 0.156, 0.125, 0.999E-03, 0.100E-02, 0.999
 14,   3240.6,   2211.0,   2563.4,    957.0, 0.141, 0.105, 0.999E-03, 0.100E-02, 0.999
 15,   3370.9,   1995.6,   3456.5,   1057.1, 0.125, 0.095, 0.999E-03, 0.100E-02, 0.999
 16,   3619.8,   1613.0,   3998.2,    981.7, 0.137, 0.108, 0.999E-03, 0.100E-02, 0.999
 17,   3923.0,   1580.2,   4049.7,    881.7, 0.164, 0.129, 0.999E-03, 0.100E-02, 0.999
 18,   4084.8,   1774.0,   3958.1,    949.3, 0.179, 0.140, 0.999E-03, 0.100E-02, 0.999
 19,   4032.6,   1384.8,   3974.6,   1010.1, 0.190, 0.150, 0.999E-03, 0.100E-02, 0.999
 20,   3871.9,   1591.9,   3665.2,    999.3, 0.000, 0.151, 0.999E-03, 0.100E-02, 0.999


  Estimates of s based on mean-L
 for mesh =  20.0 , SF = 0.40 , Delta =  3.2
 and cut-off = 25.71
 Year , Lrec , Lfull , SelRec , SelFull , s
  1, 20.11, 45.33, 1.000, 1.000, 1.000,
  2, 20.11, 45.32, 1.000, 1.000, 1.000,
  3, 20.32, 44.65, 1.000, 1.000, 1.000,
  4, 20.05, 47.08, 1.000, 1.000, 1.000,
  5, 20.12, 45.55, 1.000, 1.000, 1.000,
  6, 20.13, 43.92, 1.000, 1.000, 1.000,
  7, 20.13, 43.32, 1.000, 1.000, 1.000,
  8, 20.10, 43.53, 1.000, 1.000, 1.000,
  9, 20.19, 43.07, 1.000, 1.000, 1.000,
 10, 20.06, 44.51, 1.000, 1.000, 1.000,
 11, 20.11, 42.92, 1.000, 1.000, 1.000,
 12, 20.28, 42.36, 1.000, 1.000, 1.000,
 13, 20.07, 45.49, 1.000, 1.000, 1.000,
 14, 20.04, 46.07, 1.000, 1.000, 1.000,
 15, 20.13, 41.43, 1.000, 1.000, 1.000,
 16, 20.14, 41.10, 1.000, 1.000, 1.000,
 17, 20.12, 42.57, 1.000, 1.000, 1.000,
 18, 20.10, 43.47, 1.000, 1.000, 1.000,
 19, 20.15, 43.13, 1.000, 1.000, 1.000,
 20, 20.10, 43.73, 1.000, 1.000, 1.000,
