 Simul. Age-Len - cut 25.7 - mesh 80 - qtrend 4% since 10              
 1, 20
 Year, CatRec, CatFull , Urec, Ufull, Wrec, Wfull, Srat , M
  1,     64.4,   3991.7,   0.373,  37.910,  0.099,  2.160, 1.0, 0.2
  2,     86.4,   4144.5,   0.432,  33.688,  0.099,  2.243, 1.0, 0.2
  3,     43.2,   4165.5,   0.210,  30.308,  0.103,  2.235, 1.0, 0.2
  4,    103.8,   4088.1,   0.381,  25.982,  0.097,  2.296, 1.0, 0.2
  5,    122.5,   3979.1,   0.408,  22.624,  0.099,  2.230, 1.0, 0.2
  6,    139.1,   3842.9,   0.404,  21.059,  0.099,  2.014, 1.0, 0.2
  7,    131.9,   3514.8,   0.384,  20.225,  0.099,  1.786, 1.0, 0.2
  8,    174.8,   3376.7,   0.497,  19.670,  0.098,  1.646, 1.0, 0.2
  9,    115.6,   3369.8,   0.349,  20.206,  0.101,  1.506, 1.0, 0.2
 10,    193.3,   3349.2,   0.543,  20.003,  0.098,  1.454, 1.0, 0.2
 11,    182.3,   3466.6,   0.553,  21.637,  0.099,  1.397, 1.0, 0.2
 12,     73.4,   3564.6,   0.257,  24.134,  0.104,  1.338, 1.0, 0.2
 13,     89.9,   3161.1,   0.336,  23.676,  0.098,  1.447, 1.0, 0.2
 14,    184.6,   2690.0,   0.825,  22.314,  0.097,  1.595, 1.0, 0.2
 15,    131.1,   2305.5,   0.764,  26.153,  0.100,  1.460, 1.0, 0.2
 16,     87.8,   2187.3,   0.630,  32.580,  0.100,  1.361, 1.0, 0.2
 17,     80.7,   2223.9,   0.688,  37.100,  0.099,  1.429, 1.0, 0.2
 18,     88.1,   2141.1,   0.905,  40.395,  0.098,  1.539, 1.0, 0.2
 19,     57.9,   1967.0,   0.764,  45.396,  0.100,  1.586, 1.0, 0.2
 20,     57.6,   1823.5,   0.889,  50.026,  0.099,  1.666, 1.0, 0.2
 0.2  !! M - temporary, remove later


  TRUE states
 Year , Btot , RecN , FullN , SSB ,  F* , C/N , qr , qf , S 
  1,  84427.4,   8544.1,  43158.9,  52080.6, 0.102, 0.078, 0.425E-04, 0.883E-03, 0.048
  2,  77968.7,   9973.5,  38471.4,  49685.1, 0.113, 0.087, 0.423E-04, 0.881E-03, 0.048
  3,  69824.4,   4340.0,  35722.6,  45338.1, 0.129, 0.105, 0.451E-04, 0.856E-03, 0.053
  4,  61494.8,   9072.5,  28943.9,  39915.8, 0.143, 0.110, 0.415E-04, 0.901E-03, 0.046
  5,  52641.9,   9325.1,  27225.2,  33291.9, 0.145, 0.112, 0.426E-04, 0.839E-03, 0.051
  6,  44799.0,   9212.2,  26155.8,  27353.6, 0.145, 0.113, 0.426E-04, 0.813E-03, 0.052
  7,  38496.9,   8731.1,  25307.8,  20935.4, 0.138, 0.107, 0.427E-04, 0.808E-03, 0.053
  8,  34923.5,  11572.9,  24525.2,  16843.5, 0.129, 0.098, 0.421E-04, 0.810E-03, 0.052
  9,  32970.4,   7655.3,  26307.3,  14278.8, 0.132, 0.103, 0.436E-04, 0.778E-03, 0.056
 10,  31693.1,  12800.4,  24578.6,  12312.1, 0.125, 0.095, 0.418E-04, 0.821E-03, 0.051
 11,  32087.6,  12071.6,  27378.8,  11671.4, 0.120, 0.092, 0.444E-04, 0.801E-03, 0.055
 12,  32419.5,   4859.5,  29000.0,  11824.7, 0.132, 0.107, 0.492E-04, 0.843E-03, 0.058
 13,  32294.9,   6985.4,  24431.7,  11616.4, 0.129, 0.103, 0.472E-04, 0.974E-03, 0.048
 14,  32998.4,  16859.8,  22774.5,  12637.5, 0.100, 0.073, 0.484E-04, 0.987E-03, 0.049
 15,  35045.9,  14115.6,  29850.1,  14492.5, 0.076, 0.055, 0.523E-04, 0.891E-03, 0.059
 16,  38571.7,  11119.2,  33789.0,  15481.4, 0.067, 0.051, 0.546E-04, 0.976E-03, 0.056
 17,  43477.4,  11994.5,  34702.3,  16729.4, 0.065, 0.049, 0.559E-04, 0.108E-02, 0.052
 18,  48839.6,  15350.9,  36146.7,  19813.8, 0.061, 0.043, 0.577E-04, 0.113E-02, 0.051
 19,  54168.3,  11980.8,  40133.8,  23513.3, 0.053, 0.039, 0.615E-04, 0.114E-02, 0.054
 20,  59779.6,  13839.8,  40817.7,  27788.1, 0.000, 0.034, 0.627E-04, 0.124E-02, 0.051


  Estimates of s based on mean-L
 for mesh =  80.0 , SF = 0.40 , Delta =  8.0
 and cut-off = 25.71
 Year , Lrec , Lfull , SelRec , SelFull , s
  1, 21.27, 56.20, 0.050, 0.999, 0.050,
  2, 21.24, 56.97, 0.049, 0.999, 0.050,
  3, 21.57, 56.55, 0.054, 0.999, 0.054,
  4, 21.14, 57.24, 0.048, 0.999, 0.048,
  5, 21.27, 56.26, 0.050, 0.999, 0.050,
  6, 21.28, 53.78, 0.050, 0.997, 0.050,
  7, 21.29, 51.64, 0.050, 0.995, 0.050,
  8, 21.21, 50.57, 0.049, 0.994, 0.049,
  9, 21.40, 49.14, 0.052, 0.991, 0.052,
 10, 21.17, 49.14, 0.049, 0.991, 0.049,
 11, 21.29, 48.38, 0.050, 0.989, 0.051,
 12, 21.60, 47.72, 0.054, 0.987, 0.055,
 13, 21.20, 49.68, 0.049, 0.992, 0.049,
 14, 21.12, 51.39, 0.048, 0.995, 0.048,
 15, 21.32, 48.72, 0.051, 0.990, 0.051,
 16, 21.34, 47.64, 0.051, 0.987, 0.052,
 17, 21.26, 48.96, 0.050, 0.991, 0.050,
 18, 21.22, 50.33, 0.049, 0.994, 0.050,
 19, 21.35, 50.59, 0.051, 0.994, 0.051,
 20, 21.24, 51.48, 0.050, 0.995, 0.050,
