 RUN #    SR_TYPE         PARM 1       PARM 2    STD. DEV.       RHO   
  117             1   2169733.0400         0.5000         0.4967         0.0000
  118             1   2169733.0400         0.5000         0.4967         0.0000
  119             1   2169733.0400         0.5000         0.4967         0.0000
  120             1   2169733.0400         0.5000         0.4967         0.0000
  121             1   2169733.0400         0.5000         0.4967         0.0000
  122             1   2169733.0400         0.5000         0.4967         0.0000
  123             1   2169733.0400         0.5000         0.4967         0.0000
  124             1   2169733.0400         0.5000         0.4967         0.0000
  125             1   2169733.0400         0.5000         0.4967         0.0000
  126             1   2169733.0400         0.5000         0.4967         0.0000
  127             1   2169733.0400         0.5000         0.4967         0.0000
  128             1   2169733.0400         0.5000         0.4967         0.0000
  129             1   2169733.0400         0.5000         0.4967         0.0000
  130             1   2169733.0400         0.5000         0.4967         0.0000
  131             1   2169733.0400         0.5000         0.4967         0.0000
  132             1   2169733.0400         0.5000         0.4967         0.0000
  133             1   2169733.0400         0.5000         0.4967         0.0000
  134             1   2169733.0400         0.5000         0.4967         0.0000
  135             1   2169733.0400         0.5000         0.4967         0.0000
  136             1   2169733.0400         0.5000         0.4967         0.0000
  137             1   2169733.0400         0.5000         0.4967         0.0000
  138             1   2169733.0400         0.5000         0.4967         0.0000
  139             1   2169733.0400         0.5000         0.4967         0.0000
  140             1   2169733.0400         0.5000         0.4967         0.0000
  141             1   2169733.0400         0.5000         0.4967         0.0000
  142             1   2169733.0400         0.5000         0.4967         0.0000
  143             1   2169733.0400         0.5000         0.4967         0.0000
  144             1   2169733.0400         0.5000         0.4967         0.0000
  145             1   2169733.0400         0.5000         0.4967         0.0000
  146             1   2169733.0400         0.5000         0.4967         0.0000
  147             1   2169733.0400         0.5000         0.4967         0.0000
  148             1   2169733.0400         0.5000         0.4967         0.0000
  149             1   2169733.0400         0.5000         0.4967         0.0000
  150             1   2169733.0400         0.5000         0.4967         0.0000
  151             1   2169733.0400         0.5000         0.4967         0.0000
  152             1   2169733.0400         0.5000         0.4967         0.0000
  153             1   2169733.0400         0.5000         0.4967         0.0000
  154             1   2169733.0400         0.5000         0.4967         0.0000
  155             1   2169733.0400         0.5000         0.4967         0.0000
  156             1   2169733.0400         0.5000         0.4967         0.0000
  157             1   2169733.0400         0.5000         0.4967         0.0000
  158             1   2169733.0400         0.5000         0.4967         0.0000
  159             1   2169733.0400         0.5000         0.4967         0.0000
  160             1   2169733.0400         0.5000         0.4967         0.0000
  161             1   2169733.0400         0.5000         0.4967         0.0000
  162             1   2169733.0400         0.5000         0.4967         0.0000
