 F
 1950   0.107  0.228  0.003  0.010  0.046  0.071  0.080  0.113  0.258  0.181
 1951   0.020  0.032  0.030  0.023  0.067  0.109  0.111  0.090  0.221  0.154
 1952   0.002  0.007  0.011  0.015  0.049  0.112  0.168  0.167  0.219  0.154
 1953   0.008  0.014  0.015  0.018  0.098  0.084  0.170  0.212  0.181  0.127
 1954   0.007  0.014  0.002  0.008  0.070  0.125  0.081  0.094  0.226  0.158
 1955   0.010  0.051  0.101  0.046  0.065  0.083  0.142  0.102  0.229  0.160
 1956   0.006  0.039  0.052  0.029  0.035  0.061  0.076  0.139  0.144  0.101
 1957   0.009  0.070  0.097  0.042  0.042  0.090  0.174  0.129  0.160  0.112
 1958   0.026  0.088  0.135  0.060  0.103  0.110  0.095  0.161  0.131  0.091
 1959   0.011  0.085  0.209  0.086  0.044  0.040  0.040  0.047  0.139  0.098
 1960   0.008  0.048  0.077  0.091  0.143  0.091  0.051  0.082  0.118  0.083
 1961   0.010  0.089  0.139  0.101  0.219  0.194  0.056  0.051  0.132  0.092
 1962   0.005  0.055  0.125  0.087  0.121  0.268  0.112  0.134  0.135  0.095
 1963   0.004  0.035  0.096  0.106  0.119  0.104  0.143  0.082  0.067  0.047
 1964   0.010  0.053  0.097  0.132  0.170  0.111  0.105  0.107  0.073  0.051
 1965   0.006  0.054  0.068  0.062  0.079  0.118  0.125  0.059  0.082  0.057
 1966   0.026  0.070  0.208  0.082  0.053  0.119  0.093  0.058  0.047  0.033
 1967   0.075  0.072  0.092  0.105  0.043  0.056  0.158  0.062  0.086  0.060
 1968   0.029  0.083  0.077  0.048  0.058  0.022  0.053  0.078  0.049  0.034
 1969   0.061  0.259  0.194  0.065  0.024  0.030  0.018  0.043  0.068  0.048
 1970   0.059  0.177  0.122  0.079  0.027  0.016  0.031  0.022  0.042  0.042
 1971   0.003  0.225  0.178  0.080  0.068  0.016  0.013  0.042  0.033  0.033
 1972   0.006  0.180  0.340  0.093  0.072  0.056  0.019  0.008  0.024  0.024
 1973   0.006  0.152  0.140  0.082  0.033  0.038  0.062  0.037  0.025  0.025
 1974   0.026  0.171  0.190  0.144  0.120  0.059  0.041  0.053  0.049  0.049
 1975   0.067  0.360  0.146  0.093  0.043  0.104  0.054  0.046  0.060  0.060
 1976   0.009  0.269  0.470  0.122  0.098  0.031  0.067  0.031  0.048  0.048
 1977   0.072  0.238  0.177  0.156  0.024  0.034  0.026  0.063  0.047  0.047
 1978   0.136  0.356  0.179  0.085  0.041  0.011  0.025  0.013  0.037  0.037
 1979   0.017  0.105  0.284  0.093  0.038  0.024  0.017  0.052  0.034  0.034
 1980   0.112  0.243  0.412  0.190  0.031  0.035  0.030  0.016  0.036  0.036
 1981   0.076  0.443  0.336  0.103  0.089  0.021  0.031  0.047  0.027  0.027
 1982   0.244  0.395  0.487  0.175  0.068  0.042  0.022  0.078  0.055  0.055
 1983   0.246  0.202  0.327  0.136  0.081  0.061  0.120  0.034  0.058  0.058
 1984   0.110  0.456  0.124  0.133  0.132  0.096  0.087  0.119  0.064  0.064
 1985   0.093  0.412  0.405  0.117  0.072  0.070  0.037  0.055  0.077  0.046
 1986   0.279  0.322  0.248  0.152  0.033  0.047  0.042  0.033  0.073  0.044
 1987   0.144  0.399  0.297  0.121  0.048  0.030  0.085  0.064  0.067  0.040
 1988   0.344  0.215  0.393  0.166  0.059  0.042  0.050  0.077  0.101  0.061
 1989   0.190  0.373  0.172  0.154  0.143  0.034  0.054  0.038  0.079  0.048
 1990   0.175  0.247  0.321  0.132  0.167  0.056  0.055  0.076  0.095  0.057
 1991   0.077  0.295  0.225  0.139  0.140  0.047  0.049  0.061  0.138  0.083
 1992   0.079  0.291  0.363  0.091  0.072  0.063  0.106  0.131  0.161  0.097
 1993   0.090  0.492  0.348  0.137  0.062  0.067  0.074  0.098  0.152  0.091
 1994   0.121  0.280  0.206  0.087  0.124  0.095  0.189  0.210  0.356  0.213
 1995   0.155  0.220  0.278  0.118  0.116  0.176  0.098  0.171  0.203  0.243
 1996   0.178  0.459  0.359  0.267  0.131  0.066  0.113  0.088  0.235  0.283
 1997   0.173  0.358  0.236  0.210  0.164  0.158  0.098  0.236  0.242  0.290
 1998   0.125  0.551  0.399  0.284  0.134  0.297  0.047  0.053  0.160  0.192
 1999   0.129  0.165  0.317  0.225  0.119  0.055  0.058  0.075  0.174  0.209
 2000   0.342  0.313  0.179  0.196  0.218  0.161  0.064  0.100  0.116  0.140
 2001   0.008  0.378  0.176  0.122  0.144  0.121  0.208  0.143  0.166  0.200
 2002   0.038  0.430  0.297  0.127  0.059  0.133  0.084  0.140  0.154  0.185
 2003   0.017  0.203  0.104  0.076  0.120  0.058  0.203  0.150  0.196  0.235
 2004   0.067  0.207  0.249  0.068  0.039  0.086  0.090  0.127  0.210  0.252
 2005   0.307  0.307  0.171  0.151  0.069  0.073  0.088  0.058  0.282  0.339
 2006   0.325  0.314  0.326  0.089  0.043  0.102  0.053  0.072  0.203  0.243
 2007   0.005  0.272  0.130  0.311  0.180  0.122  0.102  0.086  0.228  0.274
 2008   0.007  0.344  0.188  0.329  0.189  0.113  0.128  0.112  0.133  0.159
 2009   0.010  0.345  0.187  0.402  0.201  0.168  0.193  0.173  0.087  0.105
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 N by area
 1950      2829897.     1453306.     1520109.     1051368.      846200.      955214.      538807.      229108.      156358.      173552.
 1951      2216439.     1558348.      910249.     1192286.      819085.      635959.      728365.      417483.      176176.      237689.
 1952      2795592.     1331147.     1187617.      695136.      916323.      602783.      466804.      547100.      328285.      308993.
 1953      2647838.     1709226.     1040320.      923893.      538679.      686343.      441374.      331245.      398313.      472416.
 1954      2677563.     1609431.     1325429.      805842.      713734.      384350.      516728.      312559.      230606.      669687.
 1955      1748875.     1628889.     1248420.     1040311.      629116.      523638.      277714.      399896.      244951.      679720.
 1956      1148605.     1061116.     1217150.      887306.      781261.      463937.      394568.      202236.      310885.      696092.
 1957       900533.      699443.      803168.      908563.      677828.      593704.      357432.      306935.      151511.      807010.
 1958      1052321.      546970.      512815.      573330.      684987.      511112.      444388.      252036.      232232.      766815.
 1959       897070.      628299.      394006.      352537.      424848.      486064.      374743.      339106.      184660.      813025.
 1960       779505.      543524.      454045.      251404.      254576.      319894.      382464.      302164.      278438.      809033.
 1961      1028292.      473854.      407378.      330598.      180476.      173610.      239235.      305123.      239574.      892371.
